Zona,Metro_21,Trem_21,Onibus_21,TransFre_21,TransEsc_21,DirAut_21,PassAut_21,TaxCon_21,TaxNCon_21,DiriMot_21,Moto_21,Bicicle_21,Pe_21,outr_21,coleti_22,Indivi_22,ModMot_22,ModNMot_22,TrabInd_23,TrabCom_23,TrabSer_23,Educ_23,Compr_23,Saude_23,Lazer_23,ProcEmp_23,AssPess_23,Refei_23
1,40.9,0.91,21.4,0.24,0.15,6.08,2.46,0.44,0.23,1.05,0,0.09,26.02,0.04,63.6,10.29,73.89,26.11,0.99,6.89,55.37,4.37,4.22,0.89,2.01,1.95,12.68,10.63
2,32.69,5.16,21.67,0,0.03,11.1,4.69,0.45,0.83,3.1,0.02,0.53,18.96,0.76,59.55,20.95,80.5,19.5,1.63,23.56,27.83,3.21,27.47,1.11,1.66,0.91,7.87,4.74
3,33.57,0,13.44,0,0.39,10.03,1.7,0.51,0.85,1.19,0.46,0.53,37.34,0,47.4,14.73,62.13,37.87,2.57,5.94,46.83,13.96,5.62,4.31,2.8,0.27,9.43,8.27
4,22.67,0.34,19.75,0,0.37,12.04,1.92,1.1,4.16,0.41,0,1.38,35.28,0.58,43.13,20.21,63.34,36.66,0.36,4.97,45.06,10.25,3.6,4.37,7.04,0.47,19.22,4.67
5,42.38,0.75,14.61,0,0.13,7.94,2.02,0.23,1.74,1.08,0.31,0.74,27.59,0.48,57.87,13.8,71.67,28.33,1.39,12.27,57.72,3.42,2.13,1.82,2.92,2.8,7.57,7.96
6,19.55,13.54,15.94,0,0.3,8.55,2.4,0.3,1.81,2.88,0,1.43,33.16,0.15,49.33,16.08,65.41,34.59,2.04,25.34,32.67,11.78,8.24,1.81,1.26,0,6.91,9.96
7,19.53,12.84,10.96,1.77,0.66,10.72,3.35,0.15,0.68,4.1,0.71,1.82,32.67,0.04,45.76,19.75,65.51,34.49,9.19,24.99,25.49,15.53,10.94,0.74,4.16,0,5.2,3.76
8,4.6,7.66,14.54,1.99,0.72,10.56,2.98,0.11,1.28,2.1,0,1.25,52.21,0,29.51,17.03,46.54,53.46,14.91,9.87,31.88,32.23,2.19,0.78,2.91,0.67,3.07,1.49
9,34.41,3.11,18.22,0,0.26,14.44,2.71,0,0.39,1.95,0,1.4,22.85,0.26,56,19.75,75.75,24.25,9.87,7.71,37.33,26.48,2.24,0.91,1.78,1.31,11.83,0.55
10,23.96,0,32.92,1.37,7.69,8.03,5.84,0,0.61,0.83,0,1.4,17.34,0,65.96,15.31,81.27,18.73,6.4,8.48,19.58,37.7,0.16,0.9,22.62,0,1.57,2.6
11,2.79,0.12,26.21,0,4.9,19.22,21.18,0.19,0.17,9.54,0,0.73,14.94,0,34.04,50.29,84.33,15.67,15.66,19.83,25.24,28.1,1.8,1.28,0.77,0,7.32,0
12,8.28,12.32,17.73,0.15,1.66,10.62,6.73,0,0.48,2.87,0,2.88,33.89,2.4,40.14,23.09,63.23,36.77,11.75,35.07,23.97,13.25,5.65,2.27,0.62,0.9,4.97,1.54
