Zona,Agrico_12,ConsCiv_12,Industr_12,Comerc_12,TrCarg_12,TrPass_12,CredFin_12,SPesso_12,Alimen_12,Saude_12,Educ_12,SEspec_12,AdmPub_12,SOutro_12,Emp_FRes_14,Emp_NRes_14,Emp_SEnd_14
1,0,0.47,0.96,9.57,0.07,6.3,14.01,0.59,3.12,2.53,2.07,23.59,16.57,20.15,99.82,0.03,0.16
2,0,0.53,4.13,48.71,1.56,3.85,2.2,1,1.47,2.89,0.98,9.21,8.35,15.14,92.53,1.66,5.81
3,0,4.59,0,15.76,0,4.8,3.04,1.04,3.5,3.95,3.31,10.55,34.64,14.8,92.16,2.23,5.62
4,0.66,2.7,3.6,7.3,0.35,2.63,5.73,2.86,7.24,0,3.31,17.31,15.06,31.24,81.15,12.05,6.8
5,0,1.04,0.95,17.01,0.56,0.09,13.35,1.8,4.72,2.95,1.05,20.65,7.57,28.27,97.55,0.34,2.12
6,0,1.63,3.02,35.18,0,3.44,3.78,0,5.07,0,3.19,8.61,10.22,25.86,93.53,3.29,3.18
7,0,1.35,14.54,44.08,0.07,3.21,2.45,1.22,6.36,2.11,4.59,3.67,6.39,9.95,94.36,4.36,1.28
8,0,0,26.23,9.64,12.28,0,0,0.42,2.61,2.04,10.07,0.34,0.58,35.79,95.17,2.39,2.43
9,0,1.55,18.09,10.35,1.99,1.27,5.48,0,2.33,1.8,5.46,3.95,18.05,29.69,95.6,3.56,0.85
10,0,0.82,20.23,26.66,0.16,0.1,0.83,0.13,1,0.28,5.41,12.14,10.19,22.03,97.21,1.24,1.53
11,0,0,40.91,29.2,8.82,0.92,0,1.51,0,0,0,7.33,0,11.3,86.21,9.66,4.13
12,0,0.03,14.88,51.23,5.45,0.13,0,0.03,8.35,6.88,1.45,1.48,0.27,9.8,93.54,5.3,1.15
13,0,5.65,12.04,74.67,0,0,0,0.12,0.74,0,0.12,0,0,6.67,97.41,1.87,0.71
14,0,1.15,24.73,55.79,0.85,0.17,2.96,0,3.02,2.95,0,1.96,0.06,6.36,99.19,0.05,0.76
15,0,2.19,24.64,20.85,0,26.91,0.52,0.12,0.42,4.64,0,2.46,0,17.27,91.52,4.3,4.18
16,0,1,9.46,17.05,0.86,0.31,9.54,0.32,7.57,0,3.98,5.05,13.97,30.89,94.92,4.77,0.31
17,0,0,1.4,66.24,0,0.42,0,1.76,5.74,0.33,5.64,1.31,0,17.17,90.55,3.81,5.64
18,0,3.35,28.85,18.35,0.65,0.19,8.33,0,2.98,5.11,3.3,5.87,6.12,16.9,93.87,3.51,2.62
19,0,0,3.51,26.14,0,1.11,2.44,4.86,5.69,12.67,8.69,7.66,7.13,20.09,82.58,11.81,5.6
20,0,0.94,0.47,18.76,0,5.49,0,4.47,4.85,9.03,12.04,2.14,7.56,34.22,54.77,20.63,24.6
21,0,2.26,0.37,5.98,0,0,2.82,25.81,7.85,2.16,8.4,6.15,0,38.19,70.77,19.95,9.28
