Zona,Metro_16,Trem_16,Onibus_16,TFret_16,TEscola_16,DirAuto_16,PAutomo_16,TaxCon_16,TaxNCon_16,DirMoto_16,PMoto_16,Bicicle_16,APé_16,Outros_16,Coletvo_17,Indiv_17,MMotor_17,MNMotor_17,TrabInd_18,TrabCom_18,TrabSer_18,Educ_18,Compras_18,Saude_18,Lazer_18,ProcEmp_18,AssPess_18,Refeic_18,TMV_Col_20,TMV_Ind_20,TMV_Ape_20,TMV_Bic_20
1,42.27,0.91,18.68,0.01,0.11,5.98,2.18,1.11,0.34,1.04,0,0.09,27.23,0.06,61.98,10.7,72.68,27.32,1.1,6.81,48.04,10.23,4.1,0.35,3.56,2.3,12.06,11.44,49.26,33.09,6.62,11.03
2,34.89,6.15,18.87,0,0.03,11.18,4.47,0.13,0.78,3.13,0.02,0.54,19.52,0.3,59.95,19.99,79.94,20.06,1.8,23.62,24.59,4.74,25.97,1.21,1.8,0.92,9.26,6.09,46.99,34.94,7.23,10.84
3,33.32,0,12.45,0,0.39,9.91,1.87,1.16,0.88,1.05,0,0.53,37.74,0.71,46.16,15.57,61.73,38.27,2.55,6.69,44.32,17.31,4.97,3.82,1.67,0.62,10.72,7.35,49.12,32.46,9.65,8.77
4,25.32,0,16.65,0,0.37,12.4,3.98,1.82,2.24,0.41,0,1.39,34.82,0.58,42.35,21.44,63.79,36.21,0.4,5.26,44.96,12.78,3.54,4.23,7.92,0.47,15.64,4.78,54.26,23.26,10.85,11.63
5,42.27,0.47,14.74,0,0.13,7.48,2,0.23,1.92,1.37,0.31,0.74,27.87,0.49,57.61,13.78,71.39,28.61,1.87,12.31,51.12,7.38,2.07,1.81,3.98,2.67,8.18,8.62,48.98,28.57,5.44,16.33
6,22.74,13.44,14.64,0,0.3,8.88,2.6,0.16,1.56,2.94,0,1.43,31.16,0.15,51.12,16.29,67.42,32.58,2.08,23.62,33.62,13.48,7.25,1.97,3.96,0,7.63,6.38,47.41,34.07,7.41,11.11
7,20.99,13.24,8.67,1.78,0.66,10.69,3.44,0.3,0.69,4.12,0.72,1.83,32.88,0,45.34,19.96,65.29,34.71,9.24,23.77,25.99,17.03,9.92,0.91,4.43,0,5.06,3.65,44.94,25.32,6.96,22.78
8,5.21,6.73,15.13,1.99,0.72,10.76,5.17,0,1.58,2.1,0,1.41,49.22,0,29.77,19.6,49.37,50.63,14.96,9.03,32.65,31.46,2.24,1.37,2.72,0.67,3.27,1.63,44.44,36.11,9.03,10.42
9,33.2,3.04,19.72,0,0.53,14.54,2.62,0.15,0.37,1.96,0,1.41,22.07,0.38,56.49,20.02,76.51,23.49,8.3,9.62,34.48,27.67,2.51,0.94,3.48,1.32,9.59,2.1,44.57,28.8,5.98,20.65
10,23.88,0,33.51,1.38,7.34,8.07,5.91,0,0.12,0.84,0,1.41,17.53,0,66.12,14.94,81.07,18.93,6.44,8.34,22.02,37.88,0.16,0.91,22.62,0,1.58,0.05,60.58,20.19,10.58,8.65
11,2.98,0.12,26.05,0,4.89,19.38,21.3,0,0.17,9.52,0,0.73,14.85,0,34.06,50.36,84.43,15.57,15.63,20.71,25.23,26.62,1.6,1.39,0.94,0,7.41,0.48,54.4,23.2,10.4,12
12,8.7,13.07,17.15,0.15,1.62,10.5,6.23,0.02,1,2.8,0,2.8,33.63,2.33,40.69,22.88,63.57,36.43,12.72,31.01,24.01,14.19,5.45,3.33,2.26,0.87,4.6,1.56,53.33,26.67,7.33,12.67
13,7.84,24.97,15.65,0.96,0.14,14.36,16.94,0.74,1.85,0,0,0.15,16.39,0,49.56,33.9,83.45,16.55,10.13,38.6,10.02,4.47,19.3,0.18,0.17,0.68,15.02,1.42,64.23,21.17,7.3,7.3
14,9.01,20.58,22.57,2.32,0.22,10.93,8.47,0.18,1.61,0.69,0,0.12,23.3,0,54.7,21.88,76.58,23.42,13.73,38,11.44,5.52,21.91,0.61,0.38,2.17,2.23,4.02,49.68,36.94,6.37,7.01
15,24.7,15.2,17.52,0,2.37,9.68,4.79,0,0,1.33,0,0.7,23.7,0,59.8,15.8,75.6,24.4,12.94,20.9,27.27,9.16,12.83,2.05,0.6,0.4,11.39,2.47,55.63,24.65,9.86,9.86
16,28.89,10.52,11.51,0,1.48,13.35,1.41,0.26,0.54,0.3,0,2.15,28.83,0.76,52.4,16.62,69.02,30.98,4.1,13.18,38.6,14.57,10.03,1.71,2.46,0.67,9.22,5.45,45.33,28.67,8,18.67
17,20.29,8.01,18.6,0.08,0.33,11.84,2.23,0.54,1.19,2.01,0.27,0.93,33.69,0,47.29,18.08,65.38,34.62,4.46,28.98,19.55,29.38,6.68,0.72,2.81,0,4.98,2.43,52.94,27.21,8.09,12.5
