Zona,Metro_16,Trem_16,Onibus_16,TFret_16,TEscola_16,DirAuto_16,PAutomo_16,TaxCon_16,TaxNCon_16,DirMoto_16,PMoto_16,Bicicle_16,APé_16,Outros_16,Total
1,42.27,0.91,18.68,0.02,0.12,5.98,2.18,1.11,0.34,1.05,0,0.1,27.24,0.07,160503
2,34.9,6.16,18.88,0,0.03,11.18,4.48,0.13,0.78,3.13,0.02,0.54,19.53,0.3,137232
3,33.33,0,12.46,0,0.39,9.91,1.88,1.16,0.88,1.06,0,0.53,37.74,0.71,62971
4,25.33,0,16.66,0,0.37,12.41,3.99,1.83,2.25,0.42,0,1.39,34.83,0.59,78184
5,42.27,0.48,14.74,0,0.14,7.48,2,0.23,1.92,1.37,0.31,0.75,27.87,0.49,186220
6,22.74,13.45,14.65,0,0.31,8.89,2.61,0.16,1.57,2.95,0,1.43,31.16,0.15,109791
7,21,13.24,8.67,1.78,0.66,10.69,3.44,0.31,0.69,4.12,0.72,1.84,32.88,0,93161
8,5.22,6.73,15.13,2,0.72,10.76,5.17,0,1.59,2.1,0,1.41,49.22,0,40223
9,33.21,3.05,19.73,0,0.53,14.55,2.63,0.15,0.37,1.97,0,1.42,22.08,0.38,36269
10,23.89,0,33.52,1.39,7.35,8.08,5.92,0,0.13,0.84,0,1.41,17.53,0,23890
11,2.99,0.13,26.06,0,4.9,19.39,21.31,0,0.17,9.53,0,0.73,14.85,0,11403
12,8.71,13.08,17.16,0.15,1.62,10.5,6.24,0.03,1,2.8,0,2.81,33.63,2.34,46136
13,7.84,24.98,15.65,0.96,0.14,14.37,16.94,0.75,1.86,0,0,0.16,16.4,0,25131
14,9.02,20.58,22.57,2.33,0.23,10.93,8.47,0.19,1.62,0.69,0,0.13,23.3,0,66496
15,24.7,15.21,17.53,0,2.38,9.69,4.8,0,0,1.33,0,0.7,23.7,0,36167
16,28.89,10.53,11.51,0,1.49,13.35,1.41,0.26,0.55,0.31,0,2.16,28.83,0.77,48647
17,20.29,8.01,18.6,0.08,0.33,11.85,2.24,0.54,1.19,2.02,0.27,0.94,33.69,0,31625
18,10.4,5.87,21.99,0.43,0.71,21.82,7.91,0.45,1.79,0.24,0,0.74,26.45,1.26,74507
19,7.37,0.58,20.07,0.28,2.44,27.55,15.75,0.51,1.93,3.7,0,0.4,19.48,0,57680
20,9.86,1.23,23.65,0,1.89,20.62,6.86,0.24,2.02,2.57,0.57,0.46,30.09,0,47083
21,11.36,0,17.56,0,1.07,23.66,14.34,1.2,5.27,3.37,0,0.37,21.61,0.24,44431
22,30.45,0,9.69,0,0.51,14.74,7.81,0,0.46,3.12,0,0.54,31.9,0.81,37043
23,52.12,0,9.42,0.21,0.2,12.77,4.64,1.06,0.37,2.88,0,0.32,16.05,0,74016
24,52.21,0,10.49,0,0.74,9.97,2.04,0.38,0.57,2.44,0.28,0.38,20.55,0,89698
25,13.37,0,21.52,0.04,0,9.16,4.06,1.36,2.7,2.49,0,1.41,43.96,0,40630
26,22.01,0,13.09,0,2.13,18.38,11.35,0.69,0.53,0.17,0,0.5,31.21,0,54508
27,32.26,0.7,14.79,0,0.59,15.41,6.3,0.99,2.3,0.92,0.03,0.51,25.27,0,117797
28,29.88,2.89,15.4,0,0.96,15.3,4.31,2.13,5.77,0.98,0,0.4,22.04,0,76171
29,31.67,0,20.04,0,0.25,13.94,2.7,1.16,3.64,2.64,0,0.38,23.18,0.43,94938
30,15.39,0.49,12.15,4.31,0.48,20.39,5.95,1.65,3.25,2.28,0,2.31,31.4,0,63115
31,31.11,0.68,18.91,0.67,1.15,13.11,5.34,0.59,2.28,1.34,0,0.18,24.38,0.32,119032
32,37.24,0.69,17.49,0,0.66,11.98,1.98,0.53,0.57,0.46,0,0.26,28.19,0,112133
33,22.4,4.68,12.84,0,2.03,15.56,2.57,3.71,5.04,9.72,0,0.77,20.74,0,6929
34,12.57,0.86,8.41,0,1.4,31.44,18.1,1.61,2.73,0.17,0,0.49,22.28,0,31857
35,22.89,2.1,15.8,0,0.34,14.47,3.85,0.86,0.35,0.07,0,0.35,38.23,0.75,114335
36,24.19,2.45,16.11,0.45,0.49,18.2,7.22,1.84,2.01,1.44,0,1.06,24.6,0,112648
37,12.14,13.94,19.45,1.34,0.38,18.75,11.4,0.36,0.52,3.34,0,3.5,14.95,0,33774
38,9.71,0,13.43,0,3.63,27.4,3.36,0,0.74,2.9,0,0,38.69,0.2,12175
39,13.22,8.78,31.83,0.36,3.84,19.39,6.59,0,0.75,1.06,0,0.03,14.2,0,27108
40,28.17,1.5,22.02,0,1.86,12.26,6.99,0,0.47,1.02,0,0.19,25.57,0,42266
41,19.12,4.68,12.63,0,3.08,16.45,6.75,0.13,0.59,1.87,0,0.25,34.5,0,81301
42,9.89,11.79,28.27,0,0.61,14.7,8.93,0,1.71,0.25,0,2.46,21.36,0.09,29355
43,30.55,3.09,23.08,0.09,1.43,13.8,6.06,0.33,2.34,1.47,0.07,0.65,17.11,0,109332
44,12.05,8.26,14.44,0,3.14,25.19,10.57,0.45,2.3,2.26,0.49,0.72,20.18,0,60317
45,11.45,3.79,19.87,0.92,2.37,21.48,7.44,0,2.55,2,0,1.81,25.82,0.56,98720
46,5.52,0.33,18.54,0,10.66,15.49,9.82,0.88,0,0.73,0,0.61,37.3,0.18,71850
47,6.26,1.09,13.89,0,0.47,27.73,9.5,0,0.86,3.98,0,1.05,34.97,0.25,43442
48,6.33,2.04,23.67,0,5.69,24.74,11.23,0.51,0.16,2.28,0,1.05,22.09,0.26,49161
49,40.05,0,10.76,0,1.81,18.3,2.86,0.43,1.62,2,0,0.48,21.73,0,60199
50,9.98,0,15.64,0.37,2.25,33.15,11.9,2.12,2.52,2.34,0.58,1.71,16.59,0.9,16802
51,21.86,0,10.46,0,3.74,31.61,8.47,0.6,0.35,2.7,0,0.43,19.84,0,29960
52,35.06,0,23.53,0,1.08,17.97,3.6,0.18,0.43,1.5,0,0,16.69,0,41976
53,42.59,0,8.79,0,1.7,17.65,7.86,0.33,1.4,3.28,0,0.7,15.73,0,65778
54,26.33,0.04,19.07,0,0.35,17.25,8.46,0.94,2.53,1.44,0,1.05,22.46,0.13,89898
55,29.46,0,11.58,0.08,0.16,25.93,9.48,2.14,1.17,4.94,1.31,0.64,12.78,0.41,50466
56,30.65,0,9.07,0.2,2.22,17.34,6.81,1.39,3.05,1.79,1.41,1.19,24.78,0.15,76853
57,24.62,0,14.74,0,1.75,19.16,6.22,1.61,2.07,1.63,1.01,0.9,26.18,0.16,110615
58,35.67,0,12.9,0.54,1.73,16.83,4.53,0.22,1.11,2.29,0,0.27,23.97,0,55639
59,29.25,0,12,0.17,2.4,14.86,8.24,0.13,1.02,1.35,0,1.61,28.66,0.36,164461
60,15.21,0.19,15.27,0,1.36,34.68,12.21,0.25,1,4.49,0,1.41,13.92,0.07,69348
61,21.75,0,16.63,0.55,1.96,21.85,9.64,0.97,1.46,1.51,0,0.4,23.34,0,76081
62,12.89,0.7,34.89,0,0.46,26.74,7.48,0.88,2.11,0.86,0,0.86,12.19,0,48737
63,28.81,0,27.88,0,2.34,22.21,9.25,1.11,0.42,1.05,0.58,0.4,5.99,0,38144
64,8.98,1.18,21.39,0.12,2.55,25.86,8.48,0.65,2.78,2.12,0,2.84,23.1,0,104606
65,3.09,1.42,18.4,0,2.58,31.31,10.74,1.26,5.23,4.85,0.08,1.17,19.93,0,68331
66,11.57,1,23.1,0,4.7,30.21,10.04,1.04,3.79,4.39,0.71,0.47,9.05,0,59938
67,10.73,1.47,27.49,0,1.55,22.17,6.8,1.15,3.1,1.88,0,0.49,22.97,0.27,32705
68,9.15,4.06,19.11,0.27,1.7,20.48,3.47,1.02,2.89,4.09,0,2.03,31.75,0.06,171851
69,10.83,1.71,19.94,0,0.19,25.86,7.64,1.46,3.06,1.05,0,2.8,25.51,0,60726
70,4.23,8.73,27.92,0,0.9,26.58,5.04,0.79,2.07,1.25,0,0.69,21.69,0.16,54596
71,4.02,6.44,18.5,0,1.54,27.48,9.89,1.26,3.97,3.9,0,2.72,20.03,0.3,66696
72,11.16,7.17,18.3,1.23,1.7,27.13,5.24,0.96,0.93,2.29,0.55,1.92,20.28,1.2,60937
73,12.56,13.18,12.5,0.85,0.21,19.45,3.91,0.57,1.66,2.05,0.04,1.51,31.57,0,181295
74,34.2,0.41,13.3,0.12,0.3,16.35,3.24,0.85,2.44,1.21,0,0.93,26.64,0.08,76617
75,18.33,0.7,15.73,0.27,1.4,25.31,4.85,2.62,2.47,0.62,0.09,0.58,27.09,0,42750
76,8.29,0.24,23.4,0,1.19,32.51,8.18,1.21,1.48,2.63,0.14,0.43,20.37,0,50711
77,28.16,1.89,16.2,0.04,1.87,12.19,4.7,1.26,7.86,4.15,0.04,0.7,21,0,95986
78,18.87,1.97,14.04,0,1.19,22.82,5.49,2.88,5.03,2.29,0,2.14,23.32,0.02,58220
79,32.65,0.06,16.1,0,0.88,16.83,4.35,1.32,2.81,1.62,0,0.48,22.19,0.78,125391
80,21.87,1.6,16.81,0,0.22,18.66,4.68,1.47,3.24,1.46,0.06,1.44,28.03,0.53,80848
81,15.53,1.59,21.98,0.48,0.78,25.55,4.11,1.35,3.56,2.36,0.05,2.35,20.33,0.07,87421
82,19.23,7.92,22.16,0.12,0.9,17.97,4.29,0.87,1.97,3.67,0,1.98,18.93,0.05,163842
83,22.59,1.25,15.48,0,1.03,23.1,6.77,1.02,2.65,0.56,0.34,1.97,23.24,0.06,90156
84,10.16,4.38,14.47,0,1.15,29.68,7.94,2.49,3.65,1.18,0.05,0.43,24.49,0,54588
85,4.69,7.26,22.65,0,2.17,25.07,12.47,0.68,3.9,0.88,0,0.34,19.94,0,20367
86,18.57,0,26.04,0,0,20.74,6.65,2.09,5.53,1.5,0.9,1.67,16.36,0,10328
87,23.03,0.41,12.15,0,2.08,25.74,12.39,1.13,2.26,2.02,0,1.89,16.95,0,44504
88,6.62,1.65,13.87,0,1.72,27.22,9.14,2.06,4.64,2.66,0.54,0.33,29.62,0,103953
89,16.01,3.25,19.4,0,1.96,26.98,7.45,0.51,5.29,1.46,0,4.93,12.5,0.31,20619
90,9.14,4.05,11.04,0,0.76,27.19,11.49,2.83,5.17,4.64,0,2.87,20.61,0.28,45063
91,18.14,10.83,39.38,1.08,0.32,10.8,4.15,0.11,1.22,5.02,0.88,0.13,8,0,61475
92,23.57,11.05,7.07,0,0.6,19.25,8.84,0.02,1.03,1,0,0.02,27.58,0.02,31517
93,26.93,23.74,20.03,0,1.01,11.09,2.67,0.3,1.44,1.05,0.15,0.31,11.13,0.21,119917
94,15.4,6.44,21.72,0,1.5,17.07,7.79,1.2,2.78,1.85,0,0.4,23.9,0,53823
95,10.7,0,14.73,0,2.57,31.03,13.72,0.77,2.47,2.97,0,0.7,20.4,0,42510
96,6.26,10.68,17.86,0,2.66,33.59,13.39,0.76,1.87,0.65,0,1.49,10.83,0,33927
97,11.84,5.22,16.25,0,1.54,31.84,7.29,1.59,7.47,0.78,0,1.38,14.84,0,43776
