Zona,TMV_Col_20,TMV_Ind_20,TMV_Ape_20,TMV_Bic_20,Total
1,49.27,33.09,6.62,11.03,136
2,46.99,34.94,7.23,10.85,166
3,49.13,32.46,9.65,8.78,114
4,54.27,23.26,10.86,11.63,129
5,48.98,28.58,5.45,16.33,147
6,47.41,34.08,7.41,11.12,135
7,44.94,25.32,6.97,22.79,158
8,44.45,36.12,9.03,10.42,144
9,44.57,28.81,5.98,20.66,184
10,60.58,20.2,10.58,8.66,104
11,54.41,23.21,10.4,12,125
12,53.34,26.67,7.34,12.67,150
13,64.24,21.17,7.3,7.3,137
14,49.69,36.95,6.37,7.01,157
15,55.64,24.65,9.86,9.86,142
16,45.34,28.67,8,18.67,150
17,52.95,27.21,8.09,12.5,136
18,55.08,22.47,9.43,13.77,138
19,34.56,12.57,5.76,47.13,191
20,51.58,22.11,15.79,10.53,95
21,47.79,17.7,7.97,26.55,113
22,43.29,23.14,11.95,21.65,134
23,50.34,31.13,6.63,12.59,151
24,47.83,24.64,7.98,19.57,138
25,50.8,19.85,11.91,18.26,126
26,46.72,33.58,8.76,10.22,137
27,51.37,21.92,8.91,17.81,146
28,41.56,35.07,7.15,16.89,154
29,47.41,24.68,6.5,20.78,154
30,53.85,21.16,8.34,16.67,156
31,46.27,24.63,8.21,20.9,134
32,47.59,25.52,7.59,20,145
33,53.99,17.18,10.43,18.41,163
34,50,22.67,9.34,18,150
35,46.62,26.32,11.28,15.79,133
36,55.36,23.22,9.83,11.61,112
37,54.55,23.38,7.15,14.94,154
38,51.91,30.54,17.56,0,131
39,54.2,22.91,7.64,15.27,131
40,49.67,20.14,5.37,24.84,149
41,45.99,24.82,6.57,21.9,137
42,53.65,23.85,7.29,15.24,151
43,49.24,23.08,10.77,16.93,130
44,58.27,21.26,8.67,11.82,127
45,47.56,24.48,6.3,20.98,143
46,44.67,18.45,8.74,29.13,103
47,54.04,18.55,8.88,19.36,124
48,51.29,20.52,9.41,18.81,117
49,51.88,20.31,9.78,18.05,133
50,48.52,17.83,14.86,19.81,101
51,49.14,18.11,11.21,21.56,116
52,56.01,30.4,13.61,0,125
53,47.34,20,8.67,24,150
54,42.38,23.17,5.09,29.95,177
55,52.24,23.89,8.21,14.93,134
56,48.13,18.8,10.53,22.56,133
57,56.93,20.77,8.47,14.62,130
58,45.66,20.29,12.32,21.74,138
59,50.47,27.11,9.35,14.02,107
60,55.66,18.27,11.31,14.79,115
61,45.99,21.9,9.49,21.9,137
62,55.35,23.28,8.18,12.58,159
63,51.81,25.91,9.04,13.26,166
64,59.1,21.97,5.31,13.64,132
65,62.81,21.49,7.44,8.27,121
66,50.35,19.73,7.49,22.45,147
67,53.34,20,8.15,18.52,135
68,56.38,22.82,5.37,15.44,149
69,57.98,23.92,5.08,13.05,138
70,53.63,26.09,6.53,13.77,138
71,48.51,20.15,8.21,23.14,134
72,54.55,22.38,8.4,15.39,143
73,54.43,28.58,4.77,12.25,147
74,56.21,23.36,7.3,13.14,137
75,62.84,20.95,6.76,8.79,148
76,50.99,26.15,6.54,17,153
77,54.68,21.59,7.92,15.83,139
78,49.32,19.18,6.85,24.66,146
79,46.71,26.35,5.39,21.56,167
80,53.91,23.44,7.04,16.41,128
81,60.42,20.84,5.56,13.2,144
82,52.45,25.88,5.6,15.39,143
83,54.17,21.67,8.34,15.84,120
84,52.72,21.71,8.53,17.83,129
85,51.38,21.11,8.26,18.35,109
86,58.4,16.8,10.4,14.4,125
87,52.64,18.43,10.53,17.55,114
88,51.52,17.43,7.58,23.49,132
89,56.04,19.83,10.35,13.8,116
90,56.46,18.55,8.07,16.94,124
91,53.29,26.28,7.3,13.14,137
92,51.36,32.44,6.09,10.14,148
93,57.9,22.56,8.28,10.53,133
94,55.27,18.43,7.24,19.74,152
95,56.74,19.24,9.62,14.43,104
96,53.85,16.16,10,20,130
97,48.24,14.71,6.48,30.59,170
