Zona,Pop_GenM_04,Pop_GenF_04,RF1_05,RF2_05,RF3_05,RF4_05,RF5_05,AssCom_Cart_08,AssSem_Cart_08,FunPub_08,Auto_08,Empreg_08,ProfLib_08,DNegFam_08,TraFam_08
1,58.46,41.54,28.76,40.37,20.23,10.64,0,42.3,6.4,14.16,19.52,4.68,2.34,5.79,4.74
2,49.94,50.06,17.59,58.67,19.46,4.28,0,30.56,20.48,3.69,37.78,2.1,4.17,1.22,0
3,41.97,58.03,19.89,47.58,26.74,0,5.79,50.58,15.42,1.68,20.31,0.96,0,9.38,1.68
4,55.36,44.64,11.71,29.88,39.41,9.4,9.61,41.44,5.77,6.02,32.13,1.19,13.46,0,0
5,48.9,51.1,12.75,48.48,27.26,9.66,1.85,21.32,7.47,7.81,20.22,7.77,22.93,9.13,3.36
6,41.68,58.32,19.68,68.96,8.96,2.4,0,50.07,8.62,2.17,31.6,3.04,2.81,1.69,0
7,49.87,50.13,8.5,42.31,46.02,3.17,0,43.25,4.1,2.4,35.38,5.5,1.47,7.89,0
8,50.76,49.24,20.17,43.16,33.73,2.11,0.82,52.24,8.57,2.29,28.22,0,0,6.03,2.66
9,46.38,53.62,19.46,37.7,33.97,7.62,1.25,48.34,12.06,3.89,32.92,0.67,0,2.15,0
10,47.31,52.69,30.2,65.6,4.2,0,0,46.33,12.45,0.97,25.17,0,2.63,12.31,0
11,51.9,48.1,15.52,46.74,27.09,6.23,4.42,52.49,5.06,2.56,35.87,1.32,2.56,0,0
12,49.94,50.06,10.75,59.77,17.08,9.5,2.91,37.53,16.08,0,21.16,3.78,0,21.45,0
13,49.2,50.8,21.81,63.62,14.56,0,0,27.8,19.79,1.77,39.69,1.41,1.3,6.48,1.77
14,41.14,58.86,9.83,72.85,17.35,0,0,51.77,8.52,1.77,27.79,3.07,1.86,5.21,0
15,49.56,50.44,28.21,52.02,16.4,3.37,0,33.54,13.78,0,42.7,0,0.93,5.91,3.13
16,38.92,61.08,1.82,80.03,18.16,0,0,46.16,13.24,9,15.31,2.09,1.78,11.31,1.13
17,48.57,51.43,16.32,52.87,28.12,2.69,0,48.12,10.77,4.78,31.56,3.39,0,1.39,0
18,51.78,48.22,9.59,40.06,30.76,9.7,9.88,44.48,7.7,6.89,31.46,3.36,3.99,2.13,0
19,45.25,54.75,6.37,29.19,46.9,12.49,5.05,42.11,10.86,4.12,24.64,0,4.16,14.09,0
20,48.93,51.07,8.38,22.3,31.02,29.27,9.02,49.85,7.01,7.78,20.34,4.28,10.73,0,0
21,50.84,49.16,9.13,12.27,40.29,30.37,7.94,36.44,5.56,7.47,22.77,4.85,16.49,6.42,0
