Zona,Pop_GenM_04,Pop_GenF_04,Total
1,58.47,41.54,3262
2,49.94,50.07,5695
3,41.98,58.03,17130
4,55.36,44.65,24089
5,48.9,51.11,14956
6,41.69,58.32,21989
7,49.87,50.14,18210
8,50.76,49.25,12252
9,46.38,53.63,7456
10,47.32,52.69,1619
11,51.9,48.11,2713
12,49.95,50.06,14381
13,49.2,50.81,1435
14,41.15,58.86,3337
15,49.56,50.45,8427
16,38.93,61.08,12117
17,48.57,51.44,6980
18,51.78,48.23,19240
19,45.26,54.75,20732
20,48.94,51.07,23063
21,50.85,49.16,18691
22,51.44,48.57,13623
23,48.28,51.73,5332
24,45.33,54.68,11423
25,55.37,44.64,18401
26,48.38,51.63,14281
27,47.38,52.63,17536
28,41.78,58.23,9068
29,49.26,50.75,13251
30,39.65,60.36,19455
31,48.02,51.99,20034
32,51.63,48.38,8556
33,46.66,53.35,1839
34,42.62,57.39,7556
35,45.66,54.35,40032
36,44.36,55.65,43094
37,44.74,55.27,4607
38,47.18,52.83,3786
39,41.42,58.59,9357
40,45.74,54.27,7878
41,48.11,51.9,22051
42,49.52,50.49,5328
43,50.53,49.48,27958
44,45.54,54.47,18350
45,47.86,52.15,33271
46,49.26,50.75,36270
47,43.89,56.12,23003
48,52.56,47.45,23924
49,50.98,49.03,13386
50,49.49,50.52,8896
51,44.87,55.14,16085
52,62.7,37.31,10145
53,43.19,56.82,13293
54,42.12,57.89,8715
55,39.78,60.23,15518
56,45.63,54.38,21617
57,45.24,54.77,24334
58,48.2,51.81,30779
59,43.19,56.82,52745
60,40.01,60,22059
61,39.45,60.56,28100
62,57.35,42.66,4565
63,47.6,52.41,2099
64,45.97,54.04,33386
65,48.49,51.52,26860
66,40.74,59.27,10923
67,50.08,49.93,10574
68,52.21,47.8,27460
69,47.33,52.68,10021
70,44.1,55.91,11703
71,45.77,54.24,28443
72,43.68,56.33,10092
73,48.28,51.73,8758
74,40.98,59.03,12765
75,46.07,53.94,14277
76,48.37,51.64,10908
77,44.75,55.26,21006
78,48.24,51.77,20776
79,46.36,53.65,10690
80,46.95,53.06,19691
81,46.53,53.48,12650
82,47.55,52.46,11262
83,46.78,53.23,22275
84,38.77,61.24,16557
85,37.22,62.79,5033
86,48.87,51.14,3729
87,48,52.01,16354
88,45.51,54.5,45356
89,50.5,49.51,13993
90,45.93,54.08,13232
91,47.07,52.94,2350
92,38.28,61.73,324
93,43.13,56.88,9032
94,42.4,57.61,3993
95,50.22,49.79,17657
96,51.79,48.22,7211
97,44.74,55.27,16610
98,37.28,62.73,2452
99,46.79,53.22,8120
100,45.16,54.85,19354
101,52.62,47.39,21858
102,46.08,53.93,12643
103,49.74,50.27,2622
104,50.03,49.98,7064
105,45.93,54.08,14439
106,46.4,53.61,3921
107,44.42,55.59,15213
108,51.56,48.45,3451
109,44.25,55.76,120118
110,49.35,50.66,50451
111,52.82,47.19,50923
112,45.67,54.34,35152
113,47.65,52.36,24154
114,NA,NA,0
115,46.63,53.38,49094
116,49.03,50.98,157907
117,51.61,48.4,64095
118,43.27,56.74,16752
119,50.73,49.28,87246
120,NA,NA,0
121,44.35,55.66,90273
122,47.97,52.04,49953
123,48.98,51.03,73066
124,49.8,50.21,64866
125,45.39,54.63,52600
126,46.5,53.51,34079
127,55.59,44.42,53941
128,36.96,63.05,1794
129,51.35,48.66,4596
130,47.81,52.2,3274
131,47.44,52.57,1227
132,NA,NA,0
133,38.04,61.97,36442
134,45.95,54.06,28827
135,53.58,46.43,38163
136,43.79,56.22,32570
137,51.23,48.78,53439
138,51.72,48.29,7855
139,40.56,59.45,24309
140,49.87,50.14,47391
141,51.29,48.72,79276
142,47.88,52.13,66324
143,NA,NA,0
144,47.76,52.25,104526
145,48.69,51.32,4480
146,NA,NA,0
147,42.18,57.83,33902
148,48.45,51.56,22869
149,NA,NA,0
150,44.9,55.11,51558
151,45.74,54.27,109629
152,45.72,54.29,35169
153,52.55,47.46,16284
154,49.26,50.75,45465
155,44.2,55.81,32242
156,53.56,46.45,43910
157,47.7,52.31,19629
158,34.25,65.76,60459
159,47.22,52.79,64171
160,42.89,57.12,50672
161,42.52,57.49,47297
162,47.54,52.47,15842
