Zona,RF1_05,RF2_05,RF3_05,RF4_05,RF5_05,Total
1,28.76,40.38,20.24,10.64,0,3262
2,17.6,58.67,19.46,4.29,0,5695
3,19.9,47.58,26.75,0,5.79,17130
4,11.71,29.88,39.41,9.41,9.62,24089
5,12.76,48.48,27.26,9.67,1.86,14956
6,19.69,68.97,8.96,2.4,0,21989
7,8.5,42.31,46.03,3.18,0,18210
8,20.17,43.17,33.73,2.12,0.83,12252
9,19.47,37.71,33.98,7.62,1.25,7456
10,30.21,65.6,4.21,0,0,1619
11,15.52,46.74,27.1,6.23,4.43,2713
12,10.76,59.77,17.08,9.5,2.91,14381
13,21.82,63.63,14.57,0,0,1435
14,9.83,72.85,17.36,0,0,3337
15,28.21,52.03,16.4,3.38,0,8427
16,1.82,80.03,18.17,0,0,12117
17,16.32,52.87,28.13,2.7,0,6980
18,9.6,40.07,30.77,9.7,9.88,19240
19,6.38,29.2,46.9,12.49,5.06,20732
20,8.38,22.31,31.02,29.28,9.03,23063
21,9.14,12.28,40.29,30.38,7.94,18691
22,4.67,44.12,35.42,8.03,7.79,13623
23,1.19,55.41,35.23,8.22,0,5332
24,13.46,46.31,34.74,1.19,4.33,11423
25,14.82,43.48,35.91,1.78,4.04,18401
26,10.17,31.66,45.96,9.18,3.05,14281
27,0.99,11.88,49.91,15.65,21.59,17536
28,2.63,15.23,68.88,7.7,5.57,9068
29,6.45,18.48,50.86,15.08,9.15,13251
30,1.02,8.76,40.77,20.04,29.44,19455
31,3.09,40.25,46.44,8.6,1.64,20034
32,3.08,33.15,39.12,17.5,7.17,8556
33,1.47,3.54,20.45,19.04,55.52,1839
34,0.83,7.61,20.49,26.37,44.72,7556
35,27.79,37.72,22.79,11.44,0.27,40032
36,3.04,30.6,43.95,15.55,6.89,43094
37,4.98,26.29,45.5,19.13,4.13,4607
38,9.78,30.38,37.33,19.1,3.44,3786
39,8.44,44.12,28.24,10.16,9.06,9357
40,12.79,54.12,26.88,3.7,2.54,7878
41,15.49,38.02,36.19,7.24,3.09,22051
42,8.43,53.87,27.58,3.12,7.02,5328
43,3.52,25.98,55.84,8.71,5.98,27958
44,8.84,17.38,51.62,10.85,11.33,18350
45,3.35,22.54,66.29,5.33,2.51,33271
46,15.51,36.4,37.54,4.16,6.42,36270
47,7.44,37.84,41.43,8.29,5.02,23003
48,15.87,32.87,43.89,1.83,5.57,23924
49,5.29,26.03,35.83,18.14,14.73,13386
50,0.29,38.43,40.76,16.16,4.4,8896
