Zona,AssCom_Cart_08,AssSem_Cart_08,FunPub_08,Auto_08,Empreg_08,ProfLib_08,DNegFam_08,TraFam_08,Total
1,42.31,6.41,14.17,19.52,4.68,2.34,5.79,4.75,1624
2,30.57,20.48,3.69,37.79,2.11,4.18,1.22,0,3282
3,50.58,15.43,1.68,20.31,0.97,0,9.38,1.68,8223
4,41.44,5.77,6.03,32.13,1.2,13.46,0,0,14567
5,21.33,7.47,7.81,20.22,7.77,22.93,9.13,3.36,10298
6,50.08,8.62,2.18,31.6,3.05,2.81,1.7,0,13400
7,43.25,4.11,2.4,35.39,5.51,1.48,7.9,0,8629
8,52.24,8.57,2.29,28.22,0,0,6.04,2.66,6432
9,48.35,12.06,3.9,32.92,0.67,0,2.15,0,3442
10,46.34,12.45,0.97,25.18,0,2.63,12.31,0,723
11,52.5,5.06,2.57,35.88,1.32,2.57,0,0,1444
12,37.53,16.09,0,21.16,3.79,0,21.45,0,6896
13,27.8,19.79,1.77,39.7,1.42,1.3,6.48,1.77,849
14,51.77,8.52,1.77,27.8,3.08,1.87,5.22,0,2148
15,33.54,13.79,0,42.71,0,0.94,5.92,3.14,5042
16,46.17,13.24,9.01,15.32,2.1,1.79,11.32,1.13,6399
17,48.12,10.77,4.78,31.56,3.4,0,1.39,0,4040
18,44.49,7.71,6.89,31.46,3.37,4,2.13,0,10296
19,42.12,10.86,4.13,24.64,0,4.17,14.09,0,11357
20,49.86,7.02,7.79,20.35,4.29,10.73,0,0,13843
21,36.45,5.56,7.47,22.78,4.86,16.5,6.42,0,10350
22,49.36,3.84,11.73,29.22,1.91,3.56,0.43,0,7567
23,54.95,10.17,7.95,20.14,0,3.51,3.32,0,3198
24,38.22,14,8.96,15.41,2.53,3.51,17.4,0,5817
25,59.28,11.36,2.58,24.15,0,1.2,1.45,0,11938
26,43.06,11.38,14,21.28,6.62,2.56,0,1.13,9104
27,38.57,2.21,10.2,13.61,5.37,23.57,6.51,0,10339
28,46.14,6.99,4.84,18.62,1.63,20.17,1.63,0,5544
29,54.2,6.74,11.47,10.68,0.26,12.89,3.79,0,7839
30,42.63,6.01,5.67,7.94,6.76,23.77,6.29,0.96,11944
31,42.96,4.04,11.08,14.87,7.09,16.75,2.52,0.71,12230
32,46.36,7.18,10.72,11.45,2.13,21.42,0.77,0,4936
33,45.8,2.84,8.77,15.47,14.44,12.81,0,0,1164
34,31.4,4.94,4.25,14.47,12.07,25.51,6.65,0.76,4501
35,55.88,5.78,8.2,27.65,0,2.51,0,0,20502
36,35.52,1.81,7.58,20.42,9.26,20.44,5.01,0,24595
