Zona,Nome_01,Domicil_01,Famlias_01,Pop_01,MatrEsc_01,Emp_01,AutPart_01,ViagPro_01,ViagAtr_01,Area_01
1,Sé,1151,1151,3262,6363,71852,326,160503,160157,57
2,Parque Dom Pedro,2342,2342,5695,1433,51854,891,137232,138306,114
3,Praça João Mendes,7100,7100,17130,2399,18547,1166,62971,62503,48
4,Ladeira da Memória,12588,12588,24089,1127,22554,3401,78184,78286,75
5,República,8050,8050,14956,1727,89487,1737,186220,187153,75
6,Santa Ifigênia,9411,9411,21989,2039,38372,1445,109791,109351,83
7,Luz,6342,6342,18210,6873,35048,2401,93161,93681,155
8,Bom Retiro,3834,4111,12252,3280,15080,1748,40223,40170,143
9,Ponte Pequena,2267,2267,7456,6413,16492,487,36269,36522,130
10,Canindé,467,467,1619,7048,6713,134,23890,24030,83
11,Bom Jardim,932,932,2713,1471,3901,488,11403,11381,50
12,Pari,4741,4741,14381,1928,21068,2085,46136,44924,140
13,João Teodoro,423,423,1435,266,9281,103,25131,24562,39
14,Oriente,1104,1104,3337,1959,27939,329,66496,66780,70
15,Bresser,3148,3247,8427,162,14171,897,36167,36241,77
16,Brás,4589,4589,12117,3420,18484,2246,48647,48197,109
17,Gasômetro,2411,2430,6980,5504,9361,597,31625,31507,69
18,Independência,6592,6592,19240,3762,24090,3672,74507,73238,254
19,Cambuci,7490,7490,20732,4590,16448,5235,57680,57903,140
20,Glicério,9042,9042,23063,3614,8159,6862,47083,46030,108
21,Aclimação,7404,7404,18691,3860,9685,5517,44431,44318,114
22,Pires da Mota,5996,5996,13623,4513,8425,3263,37043,37239,50
23,Centro Cultural,2553,2553,5332,33076,17915,1279,74016,73688,33
24,Liberdade,5364,5364,11423,53168,17996,1659,89698,89534,59
25,Treze de Maio,7996,7996,18401,4010,12142,2582,40630,40829,43
26,Bexiga,6375,6494,14281,8564,13420,2564,54508,54681,52
27,Bela Vista,7636,7636,17536,12922,44855,6620,117797,120315,94
28,São Carlos do Pinhal,4411,4411,9068,8922,28433,2738,76171,76772,31
29,Masp,7089,7089,13251,4904,45411,2916,94938,94788,57
30,Higienópolis,9038,9197,19455,3796,18583,7884,63115,62730,68
31,Vila Buarque,11259,11259,20034,37088,27102,5014,119032,119388,90
32,Consolação,4590,4590,8556,15091,48237,2587,112133,112552,57
33,Pacaembu,587,587,1839,541,3126,865,6929,6927,90
34,FAAP,3191,3191,7556,5443,9965,3655,31857,32883,74
35,Santa Cecília,19105,19105,40032,8462,35793,6481,114335,112257,144
36,Marechal Deodoro,18909,19001,43094,11004,33133,11359,112648,112542,142
37,Rudge,1525,1525,4607,2544,19020,1119,33774,33551,85
38,Catumbi,1074,1095,3786,2263,5130,747,12175,12154,81
39,Belém,3087,3087,9357,3216,8952,2039,27108,25582,161
40,Quarta Parada,2593,2593,7878,5999,17654,1381,42266,42954,127
41,Belenzinho,7268,7452,22051,7724,24408,4258,81301,80984,180
42,Celso Garcia,1537,1537,5328,385,8745,431,29355,29252,64
43,Mooca,10102,10102,27958,37812,23692,8922,109332,110112,272
44,Alto da Mooca,6583,6583,18350,4064,18042,4607,60317,61151,142
45,Parque da Mooca,11979,11979,33271,5703,33482,12166,98720,97369,381
46,Água Rasa,12267,12883,36270,9682,16582,7619,71850,70873,316
47,Vila Bertioga,8194,8194,23003,2050,11977,9052,43442,43355,195
48,Regente Feijó,8524,8524,23924,5798,14867,6105,49161,48902,204
