21_ZonDes,21_Metro,21_Trem,21_Onibus,21_TransFre,21_TransEsc,21_DirAut,21_PassAut,21_TaxCon,21_TaxNCon,21_DiriMot,21_Moto,21_Bicicle,21_Pe,21_outr,21_total
1,65511,1454,34277,386,235,9733,3938,704,368,1677,0,146,41670,60,160157
2,45207,7142,29969,0,40,15353,6491,623,1144,4291,24,737,26228,1057,138306
3,20980,0,8402,0,244,6267,1061,318,529,745,288,331,23337,0,62503
4,17751,264,15459,0,289,9423,1503,859,3258,322,0,1084,27619,455,78286
5,79320,1395,27348,0,246,14851,3788,429,3261,2017,571,1379,51641,907,187153
6,21375,14802,17433,0,332,9347,2622,328,1974,3149,0,1565,36262,162,109351
7,18300,12026,10270,1658,614,10043,3134,140,638,3837,669,1706,30605,41,93681
8,1846,3078,5840,801,289,4242,1197,45,514,843,0,502,20971,0,40170
9,12567,1136,6654,0,95,5274,988,0,143,711,0,513,8344,96,36522
10,5758,0,7911,330,1849,1929,1404,0,147,200,0,336,4167,0,24030
11,318,14,2983,0,558,2187,2411,22,19,1086,0,83,1700,0,11381
12,3720,5533,7963,68,747,4770,3025,0,214,1290,0,1293,15225,1077,44924
13,2067,6333,3431,241,34,3318,3964,144,813,0,0,38,4178,0,24562
14,6745,13364,14486,1544,148,7847,5656,0,999,457,13,82,15439,0,66780
15,8374,5811,6535,0,772,3171,1848,0,0,480,0,253,8997,0,36241
16,13817,4498,6246,0,644,6294,383,122,399,147,0,1046,14232,371,48197
17,7267,1381,6384,24,181,3553,651,94,376,636,72,295,10592,0,31507
18,7603,3206,16743,319,648,15734,5667,330,1385,178,0,545,19947,932,73238
19,4151,329,12593,156,1322,15931,8953,256,821,2251,0,226,10914,0,57903
20,4074,576,10082,0,888,9983,3271,191,1060,1209,0,212,14483,0,46030
21,5696,0,7349,0,543,10352,5612,1243,2373,1495,0,160,9389,106,44318
22,10465,0,4784,0,187,5528,2837,67,265,1032,0,200,11573,300,37239
23,39167,0,7410,155,148,9449,2468,974,587,2131,0,234,10963,0,73688
24,42920,0,11653,0,288,8986,2192,375,421,2143,515,339,19667,37,89534
25,5270,0,8117,14,97,3719,1555,418,1114,1008,0,570,18538,409,40829
26,11855,0,7038,0,1156,10335,6305,371,393,90,0,269,16868,0,54681
27,39193,821,18358,0,473,18228,7137,2455,2911,1490,31,599,28618,0,120315
28,25221,1054,12493,0,731,11653,4326,1911,1141,745,0,247,17251,0,76772
29,30261,937,18890,0,391,13160,1941,812,3441,2504,0,212,22180,60,94788
30,11641,377,5992,2663,403,12897,3884,921,2021,1433,0,1457,19040,0,62730
31,36170,395,24276,791,1092,16292,5377,1210,2834,1146,0,264,29171,371,119388
32,41986,1638,17480,0,572,12353,3169,389,633,514,0,287,33532,0,112552
33,1526,324,857,0,134,1078,223,20,506,673,0,53,1532,0,6927
34,5162,384,2434,53,195,10333,6215,614,785,50,0,155,6503,0,32883
35,25436,2271,18622,0,652,14476,4414,983,747,69,0,394,43342,852,112257
36,28459,1988,15814,504,990,20980,8372,2003,2940,1620,0,1244,27629,0,112542
37,3484,3977,7677,451,483,6445,3228,37,255,1126,0,1246,5142,0,33551
38,1116,0,1708,0,441,3335,273,53,53,352,0,0,4799,24,12154
39,4279,1024,8403,97,828,5150,1751,0,78,287,0,7,3679,0,25582
40,11958,377,9736,0,825,5881,2714,0,165,427,0,80,10792,0,42954
41,14034,2615,12205,0,2403,13188,6209,104,560,1518,0,198,27949,0,80984
42,2934,3164,8045,0,487,4263,2877,79,532,72,0,721,6053,24,29252
43,30767,2448,28425,98,1551,15046,6861,352,1404,1538,409,700,20067,448,110112
44,6823,4980,11051,0,1889,15188,5864,269,1387,1362,295,433,11609,0,61151
45,11534,3190,18289,900,2335,20417,7796,0,4034,1529,0,1780,25153,413,97369
46,3620,234,13593,0,7255,11125,7140,629,0,521,0,434,26197,126,70873
47,3211,471,6275,0,200,12046,3611,0,372,1728,0,452,14747,241,43355
48,3325,1305,11038,0,2794,11890,5203,247,77,1120,0,514,11262,126,48902
49,24076,100,6814,0,1088,11015,1975,308,1009,1201,59,283,12898,0,60827
50,1746,0,2643,62,377,5569,2229,198,440,393,97,286,2696,151,16889
51,6572,0,2226,0,970,9469,3391,178,0,808,0,126,6147,0,29887
52,14771,0,9268,0,532,7364,1595,75,552,627,59,0,6110,0,40952
53,27547,0,7178,0,1118,12205,4818,182,1359,2155,0,168,10251,0,66981
54,24355,0,17044,0,689,15856,6379,1181,2155,1292,0,1229,21279,110,91571
55,15447,0,6253,0,80,13249,4256,388,1786,2489,600,320,6114,205,51186
56,20964,0,9744,184,1636,13675,6832,615,1430,1372,1024,910,18830,110,77327
57,25186,0,16777,0,1999,21169,8880,2170,1988,2330,958,918,28782,168,111326
58,19552,0,7714,298,590,9263,2572,122,895,1270,0,145,13142,0,55562
59,46352,0,20361,0,3943,25805,13460,349,1372,2208,0,2638,47916,591,164995
