Zona,coleti_22,Indivi_22,ModMot_22,ModNMot_22,Total
1,101862,16479,118342,41816,160157
2,82358,28982,111341,26966,138306
3,29626,9208,38834,23669,62503
4,33764,15820,49583,28702,78286
5,108310,25823,134133,53020,187153
6,53942,17582,71524,37827,109351
7,42868,18502,61370,32311,93681
8,11855,6842,18697,21473,40170
9,20453,7213,27665,8857,36522
10,15849,3679,19528,4502,24030
11,3874,5724,9598,1783,11381
12,18031,10375,28405,16518,44924
13,12106,8239,20345,4217,24562
14,36287,14972,51259,15521,66780
15,21491,5500,26991,9250,36241
16,25205,7715,32920,15278,48197
17,15237,5384,20620,10887,31507
18,28519,24226,52745,20492,73238
19,18551,28212,46762,11140,57903
20,15621,15714,31335,14694,46030
21,13588,21181,34769,9549,44318
22,15436,10029,25465,11773,37239
23,46880,15610,62490,11197,73688
24,54861,14668,69529,20005,89534
25,13498,8223,21721,19108,40829
26,20049,17494,37543,17137,54681
27,58845,32252,91097,29217,120315
28,39498,19776,59274,17498,76772
29,50478,21918,72397,22391,94788
30,21075,21157,42233,20498,62730
31,62723,27230,89953,29435,119388
32,61675,17057,78733,33819,112552
33,2841,2501,5341,1585,6927
34,8228,17997,26225,6658,32883
35,46981,21541,68522,43736,112257
36,47755,35915,83670,28872,112542
37,16071,11092,27163,6388,33551
38,3265,4090,7355,4799,12154
39,14630,7265,21896,3686,25582
40,22896,9186,32082,10872,42954
41,31257,21580,52837,28147,80984
42,14630,7847,22477,6774,29252
43,63288,26057,89345,20767,110112
44,24744,24365,49108,12042,61151
45,36248,34188,70436,26933,97369
46,24701,19541,44242,26631,70873
47,10158,17998,28156,15199,43355
48,18462,18663,37125,11777,48902
49,32078,15568,47646,13181,60827
50,4829,9077,13906,2983,16889
51,9768,13846,23614,6273,29887
52,24570,10272,34842,6110,40952
53,35842,20720,56562,10419,66981
54,42089,26974,69063,22508,91571
55,21780,22973,44753,6434,51186
56,32529,25058,57587,19740,77327
57,43962,37664,81626,29700,111326
58,28153,14122,42275,13287,55562
59,70656,43785,114441,50554,164995
60,22465,36032,58497,9821,68318
61,32121,26131,58252,17860,76112
62,23903,18331,42234,6371,48606
63,21882,13475,35357,1708,37065
64,36879,42874,79753,26415,106168
65,17162,36765,53926,14636,68562
66,21856,32274,54130,6782,60912
67,12389,12061,24450,8183,32633
68,58295,55148,113443,57712,171156
69,20581,22589,43170,17555,60725
70,23209,19442,42651,12495,55146
71,20349,30593,50942,15441,66382
72,23675,23900,47574,13466,61040
73,71346,49488,120835,60371,181206
74,38462,18874,57336,18912,76247
75,15188,13982,29170,13375,42545
76,17243,23507,40751,9894,50644
77,47373,27782,75155,20143,95297
78,21717,21488,43206,15128,58334
79,64097,33923,98020,27672,125692
80,32794,24534,57329,23846,81175
81,35707,32662,68369,19387,87756
82,81776,47869,129645,34712,164357
83,35677,33017,68693,21513,90207
84,16043,25342,41385,13320,54705
85,7266,8882,16147,4202,20350
86,4625,3786,8411,1835,10246
87,16594,19943,36538,8063,44601
88,24920,47513,72433,32179,104612
89,8151,9000,17151,3695,20846
90,11431,23648,35079,9980,45059
91,44065,13249,57314,5001,62315
92,14646,7897,22543,8270,30813
93,87082,18349,105431,13253,118685
94,24471,16446,40917,12756,53673
95,12335,20352,32688,9724,42411
96,12329,17085,29414,4347,33761
97,14269,22014,36283,7097,43380
98,8779,4796,13576,2297,15872
99,22762,15763,38525,4955,43479
100,83316,44807,128122,21539,149661
101,16456,22759,39216,7699,46915
102,12123,15707,27829,4346,32175
103,5744,5036,10781,812,11593
104,6131,9149,15280,2567,17846
105,20830,20513,41343,7256,48599
106,14314,12146,26460,5133,31592
107,16777,27183,43960,6367,50328
108,12432,11733,24166,1974,26140
109,88482,42840,131322,50738,182060
110,39740,27178,66919,24626,91545
111,25598,28225,53823,30313,84136
112,20083,13107,33190,24337,57527
113,23530,22279,45809,11766,57575
114,0,0,0,239,239
115,31218,14682,45900,24030,69930
116,117257,33949,151206,88393,239599
117,28596,21675,50272,9889,60161
118,7751,6173,13924,8131,22055
119,61420,15748,77168,34711,111879
120,0,0,0,0,0
121,37598,17943,55542,39073,94615
122,26923,15899,42822,30119,72941
123,42097,9864,51962,32042,84004
124,53185,31945,85130,45103,130234
125,23371,13383,36754,43389,80144
126,25338,23493,48831,23042,71873
127,38980,50151,89130,39014,128145
128,16232,16598,32831,2926,35757
129,30255,22170,52425,10294,62718
130,4029,4080,8109,1553,9662
131,17765,7713,25478,6582,32060
132,7025,7245,14270,604,14874
133,35667,37218,72885,19231,92117
134,23470,37046,60517,12176,72693
135,30318,30280,60598,23067,83665
136,28300,33033,61333,28938,90271
137,37989,39958,77948,28931,106878
138,8709,14126,22835,11721,34557
139,24910,18282,43192,19832,63023
140,23756,17977,41733,48093,89826
141,58369,41917,100286,60420,160705
142,32988,24782,57770,40429,98199
143,0,0,0,0,0
144,67611,62429,130039,33647,163687
145,4810,11296,16106,4166,20272
146,0,0,0,0,0
147,25107,18493,43600,28774,72374
148,12530,15539,28069,20795,48864
149,0,78,78,350,428
150,27140,12738,39878,23667,63545
151,51051,52145,103196,75981,179178
152,21831,30468,52299,27158,79456
153,18860,17243,36103,5323,41426
154,35336,44455,79792,20508,100300
155,14599,9399,23998,18606,42604
156,33254,30168,63422,24851,88273
157,10999,14050,25049,9545,34594
158,31804,19047,50851,25018,75869
159,28730,32186,60916,39478,100394
160,22423,15401,37824,15674,53498
161,27798,43331,71130,50834,121963
162,27007,21909,48916,19852,68767
163,26160,48209,74369,23153,97522
164,9126,9211,18337,7398,25735
165,18093,14720,32813,4749,37562
166,51203,45729,96932,22396,119328
167,56551,38837,95388,22747,118134
168,32925,23117,56042,18037,74079
169,50740,23523,74263,13013,87276
170,48029,25146,73175,24130,97305
171,38242,21903,60144,21018,81162
172,18933,20596,39529,12447,51976
173,15461,10823,26283,18834,45117
174,31913,14011,45924,40115,86039
175,18561,16847,35408,24742,60150
176,18702,20249,38951,19552,58503
177,4247,4318,8565,5367,13932
178,2066,616,2682,1266,3949
179,0,0,0,0,0
180,37787,24836,62623,57141,119763
