Zona de Destino,Trabalho Indústria,Trabalho Comércio,Trabalho Serviços,Educação,Compras,Saúde,Lazer,Procurar Emprego,Assuntos Pessoais,Refeição,Total
23_ ZonDes,23_TrabInd,23_TrabCom,23_TrabSer,23_Educ,23_Compr,23_Saude,23_Lazer,23_ProcEmp,23_AssPess,23_Refei,23_Total
1,1591,11035,88680,6999,6751,1418,3222,3125,20312,17026,160157
2,2260,32580,38487,4438,37999,1537,2302,1261,10889,6553,138306
3,1604,3713,29270,8727,3511,2696,1747,170,5894,5171,62503
4,278,3887,35275,8028,2822,3420,5509,370,15043,3654,78286
5,2606,22966,108022,6403,3979,3410,5459,5249,14165,14892,187153
6,2228,27707,35721,12882,9011,1978,1381,0,7557,10887,109351
7,8612,23407,23882,14546,10249,689,3900,0,4871,3524,93681
8,5989,3966,12808,12946,881,314,1170,268,1232,598,40170
9,3603,2817,13635,9671,818,331,649,477,4321,200,36522
10,1538,2037,4705,9059,38,217,5435,0,377,625,24030
11,1782,2257,2873,3198,205,146,88,0,833,0,11381
12,5278,15756,10768,5954,2538,1022,280,403,2231,691,44924
13,2546,10186,2424,719,4307,46,62,172,3732,367,24562
14,9182,25039,7211,3631,14504,367,252,1440,1481,3675,66780
15,4259,7392,11167,2991,4371,942,211,143,3861,905,36241
16,2305,6690,20292,6572,4687,832,1039,326,4084,1371,48197
17,1102,9831,5605,9003,2106,714,405,0,1651,1089,31507
18,10491,10484,21612,14912,2224,4082,1800,0,4778,2856,73238
19,1886,6821,19353,16725,1519,8943,1421,0,1010,225,57903
20,1618,2938,11363,13544,3584,2316,2817,615,6177,1058,46030
21,359,1492,17276,16065,2631,2337,1471,630,1819,238,44318
22,459,1044,11612,14549,3058,3238,1025,96,1954,203,37239
23,831,5898,19902,29798,519,9225,2268,500,1809,2938,73688
24,1645,3586,21547,49409,2503,2490,2532,587,3927,1307,89534
25,1957,1346,19551,11491,1789,656,1842,0,1305,892,40829
26,3641,3574,18728,16615,1522,4615,2916,0,2220,848,54681
27,2273,6635,56332,19462,3614,17209,4768,318,4626,5079,120315
28,3526,2912,40061,11040,1435,6442,2827,1079,3600,3851,76772
29,2361,7148,51058,9109,2453,10742,4534,83,3727,3573,94788
30,1345,3546,26715,10085,3028,6442,6670,55,3285,1559,62730
