ZEmprego,14_Emp_FRes,14_Emp_NRes,14_Emp_SEnd,14_Total
1,71721,19,112,71852
2,47979,860,3015,51854
3,17092,413,1042,18547
4,18303,2718,1533,22554
5,87292,301,1893,89487
6,35889,1262,1221,38372
7,33072,1528,448,35048
8,14352,361,367,15080
9,15766,587,140,16492
10,6526,83,103,6713
11,3363,377,161,3901
12,19708,1117,243,21068
13,9041,174,66,9281
14,27714,14,211,27939
15,12970,610,592,14171
16,17545,881,58,18484
17,8476,357,528,9361
18,22613,845,632,24090
19,13583,1943,921,16448
20,4469,1683,2007,8159
21,6854,1932,899,9685
22,7098,709,618,8425
23,17578,184,153,17915
24,17419,417,160,17996
25,9809,1613,720,12142
26,11831,940,649,13420
27,42854,702,1300,44855
28,25584,792,2056,28433
29,43538,1137,736,45411
30,15627,2313,643,18583
31,24541,1713,849,27102
32,47206,791,240,48237
33,2808,272,46,3126
34,8777,894,293,9965
35,31335,1776,2683,35793
36,26722,4385,2027,33133
37,18413,469,138,19020
38,4176,270,685,5130
39,8025,206,721,8952
40,16675,500,480,17654
41,22856,835,718,24408
42,8137,463,145,8745
43,19855,2180,1657,23692
44,16471,825,747,18042
45,31717,1260,505,33482
46,11963,2700,1918,16582
47,8865,1977,1135,11977
48,12179,789,1900,14867
49,18027,1370,612,20009
50,1078,606,161,1845
51,5407,1341,417,7165
52,12780,1562,395,14736
53,21839,705,508,23052
54,29045,493,186,29725
55,12402,1506,1769,15678
56,19451,2561,131,22143
57,42152,1472,1522,45145
58,13409,1488,1530,16428
59,27591,2055,2005,31651
60,12767,1286,1335,15388
61,16213,1545,976,18735
62,18510,901,583,19995
63,12340,269,41,12650
64,37307,1832,2133,41272
65,15146,906,1504,17556
66,20642,825,1060,22527
67,7546,742,477,8765
68,71638,1202,726,73566
69,22072,394,997,23463
70,19469,498,357,20324
71,17413,2328,874,20615
72,23349,813,288,24450
73,96588,473,672,97733
74,34182,1475,577,36233
75,10670,1313,582,12564
76,22058,1291,330,23679
77,35843,1976,1131,38950
78,21623,2677,632,24932
79,44413,649,1132,46194
80,24514,1843,1195,27553
81,39129,1287,1225,41641
82,72892,1283,899,75074
83,23967,3183,651,27801
84,10894,1067,802,12763
85,2625,530,105,3259
86,3307,372,223,3903
87,7985,1923,935,10844
88,18031,4477,1605,24113
89,2698,1661,1084,5442
90,7730,284,1727,9741
91,24064,227,105,24396
92,12074,55,795,12925
93,29423,214,858,30495
94,18563,310,688,19561
95,6948,1056,1645,9649
96,11093,590,295,11979
97,11510,1678,750,13939
98,8394,12,94,8500
99,21985,472,479,22936
100,36646,2034,1736,40417
101,7922,1693,1377,10991
102,6356,973,847,8176
103,2668,140,114,2922
104,2606,716,295,3617
105,14505,1426,582,16513
106,20691,106,157,20954
107,11239,1066,541,12845
108,14590,327,628,15544
109,21632,5306,7447,34385
110,10302,4150,2669,17121
111,12119,1938,3670,17727
112,8663,1831,3391,13884
113,16309,429,1634,18372
114,211,0,0,211
115,6678,2287,3820,12785
116,17806,4355,10023,32183
117,9363,5314,1861,16538
118,2052,759,1196,4007
119,6269,2696,5003,13969
120,0,0,0,0
121,6495,2303,6892,15691
122,3827,2896,2887,9610
123,3837,3349,2422,9608
124,10478,4391,2789,17658
125,5991,2196,4183,12370
126,8976,623,2431,12030
127,17208,1000,1681,19889
128,13578,68,46,13692
129,14057,178,224,14458
130,3582,104,173,3859
131,10678,85,145,10907
132,3871,0,0,3871
133,17447,2319,600,20366
134,11093,2662,951,14706
135,13575,1387,2483,17445
136,20379,1257,1836,23471
137,13440,3864,3583,20887
138,10980,336,741,12057
139,12363,675,1130,14168
140,9381,2352,4503,16237
141,15699,2461,3693,21853
142,9044,3551,5079,17674
143,0,0,0,0
144,20427,3662,6000,30090
145,1839,162,391,2392
146,0,0,0,0
147,11323,1136,851,13311
148,4865,1432,1539,7836
149,68,0,0,68
150,4272,1643,4355,10269
151,12122,3498,5391,21011
152,10441,3527,605,14573
153,8724,1429,612,10765
154,12727,2430,2005,17162
155,3541,1780,999,6320
156,12778,3762,1071,17611
157,3852,1301,1833,6985
158,4703,1376,1848,7928
159,19152,7274,2776,29203
160,7849,2356,2491,12697
161,29776,1721,1709,33206
162,15910,1520,394,17823
163,13615,2494,1211,17319
164,9511,578,417,10506
165,13873,236,224,14333
166,26363,1931,2059,30353
167,35393,1333,767,37493
168,20131,1543,485,22159
169,16024,1403,1602,19028
170,18711,665,492,19867
171,10800,827,3183,14810
172,8019,1595,1793,11408
173,7125,593,1304,9021
174,4608,2160,3338,10106
175,3911,2670,3494,10075
176,6398,8968,3311,18677
177,741,261,892,1894
178,1289,0,0,1289
179,0,0,0,0
180,7932,3380,3133,14445
181,9495,1862,1362,12719
182,9664,5461,1929,17054
183,3315,1758,2735,7808
184,3011,1194,772,4977
185,2673,1075,1267,5015
186,1672,435,547,2654
187,4788,2331,2840,9959
188,5113,1258,1929,8299
189,7157,701,2836,10694
190,14155,805,430,15390
191,8579,0,108,8687
192,5068,951,3359,9378
193,5362,722,502,6585
194,3408,1000,444,4852
195,3291,1270,1694,6255
196,3595,1619,3125,8339
197,6710,463,590,7763
198,22286,516,1131,23934
199,14772,2402,3496,20669
200,4858,1334,2970,9162
201,11301,1573,3746,16619
202,4823,1471,5176,11471
203,4358,2042,2440,8840
204,15438,2427,5016,22880
205,8631,5687,7956,22273
206,10986,2216,2697,15898
207,10207,1416,4385,16008
208,23815,1898,3129,28842
209,10633,1980,308,12920
210,17552,2325,685,20561
211,15156,3033,2307,20496
212,6272,931,1546,8750
213,17117,2518,2210,21845
214,8981,1923,1486,12390
215,14249,844,3079,18172
216,8040,1746,2631,12417
217,7307,2497,1028,10832
218,12727,2153,3744,18624
219,8681,2940,5554,17175
220,7120,763,2850,10732
221,11712,1612,4445,17769
222,11759,2233,2772,16764
223,7699,1423,1630,10752
224,1818,0,0,1818
225,8623,1001,2367,11991
226,12362,3012,5296,20670
227,8113,3510,4170,15793
228,2262,1438,5115,8814
229,20994,2556,8343,31893
230,7641,2687,3624,13952
231,4931,887,2440,8258
232,5691,448,3416,9556
233,7910,3223,5523,16657
234,7320,2177,7643,17140
235,11472,5130,7220,23823
236,10321,387,213,10921
237,10571,731,459,11761
238,9235,358,1720,11313
239,16314,692,552,17557
240,17125,1732,180,19037
241,10971,663,735,12369
242,10203,1415,917,12535
