Zona,Agrico_12,ConsCiv_12,Industr_12,Comerc_12,TrCarg_12,TrPass_12,CredFin_12,SPesso_12,Alimen_12,Saude_12,Educ_12,SEspec_12,AdmPub_12,SOutro_12,Total
1,0,335,690,6878,53,4525,10069,426,2244,1819,1484,16947,11907,14475,71852
2,0,276,2139,25257,807,1994,1142,519,761,1497,508,4774,4330,7851,51854
3,0,852,0,2923,0,891,564,193,650,732,614,1957,6425,2745,18547
4,148,610,812,1647,80,593,1292,646,1634,0,747,3903,3397,7045,22554
5,0,934,847,15224,498,80,11943,1608,4228,2637,942,18475,6770,25302,89487
6,0,626,1160,13498,0,1320,1450,0,1946,0,1224,3303,3923,9922,38372
7,0,474,5097,15450,23,1124,860,427,2230,740,1608,1288,2240,3487,35048
8,0,0,3956,1453,1852,0,0,64,393,307,1518,52,88,5397,15080
9,0,256,2983,1707,328,210,903,0,385,297,900,651,2976,4896,16492
10,0,55,1358,1790,11,7,56,9,67,19,363,815,684,1479,6713
11,0,0,1596,1139,344,36,0,59,0,0,0,286,0,441,3901
12,0,7,3135,10794,1148,28,0,7,1760,1450,305,311,56,2065,21068
13,0,524,1117,6930,0,0,0,11,69,0,11,0,0,619,9281
14,0,322,6909,15586,237,47,826,0,845,825,0,549,16,1778,27939
15,0,310,3492,2954,0,3813,73,17,60,657,0,348,0,2448,14171
16,0,185,1749,3151,159,58,1764,60,1400,0,735,933,2582,5709,18484
17,0,0,131,6201,0,39,0,165,537,31,528,123,0,1607,9361
18,0,807,6950,4421,157,46,2006,0,719,1230,794,1414,1474,4071,24090
19,0,0,578,4299,0,183,401,800,936,2084,1430,1260,1173,3304,16448
20,0,77,38,1531,0,448,0,365,396,737,982,175,617,2792,8159
21,0,219,36,579,0,0,273,2500,760,209,814,596,0,3699,9685
22,0,59,95,1184,0,436,0,59,32,1622,1187,1047,585,2118,8425
23,0,0,0,2003,0,1233,0,0,1367,7702,2489,200,1307,1613,17915
24,0,525,0,2271,27,251,210,577,1732,1676,1686,1402,2662,4978,17996
25,0,1297,347,407,254,0,0,65,1921,19,383,1814,0,5635,12142
26,0,212,323,1753,0,201,898,513,1462,2557,539,2769,156,2037,13420
27,0,156,640,4032,694,165,2774,837,3532,15119,2572,4659,380,9296,44855
28,0,430,588,1884,430,90,2314,325,763,2732,1924,7841,401,8710,28433
29,0,1963,569,5312,0,282,5658,495,1705,14397,1139,5152,3540,5200,45411
30,0,310,165,2240,0,57,311,603,635,2364,915,3452,106,7425,18583
31,0,698,51,1174,621,243,193,956,1145,6020,4333,3904,3018,4746,27102
32,0,582,2673,6551,44,1635,5606,1232,4798,3174,1018,9719,2122,9082,48237
33,0,464,39,64,0,0,78,0,0,79,189,311,0,1903,3126
34,0,21,34,414,0,34,39,34,19,3069,1285,1178,0,3838,9965
35,0,787,373,4197,257,367,4303,1549,3094,1161,1603,2341,3045,12716,35793
36,0,1176,677,5889,736,1174,1571,1292,951,2441,1688,3091,1697,10749,33133
37,0,392,983,4072,784,0,408,57,140,81,193,168,2539,9202,19020
38,0,0,2113,1610,0,253,0,31,432,0,168,454,0,70,5130
39,0,574,814,902,0,0,0,137,706,2079,1128,69,174,2369,8952
40,0,286,1005,432,105,291,142,325,699,1081,267,1048,244,11729,17654
41,0,1204,4713,3740,107,379,1137,888,2146,1228,277,971,1102,6518,24408
42,0,0,3775,1577,346,270,0,82,255,661,469,688,0,621,8745
43,0,142,574,3802,730,365,396,161,829,3206,3327,583,1083,8493,23692
44,0,0,2005,3713,134,0,154,0,805,4664,395,1305,959,3910,18042
45,0,160,7920,7130,930,283,56,936,3538,1063,850,3312,332,6971,33482
46,0,440,3249,4166,0,1208,0,764,891,1645,465,534,0,3220,16582
47,0,95,2542,871,586,473,457,1320,694,162,0,465,0,4312,11977
48,0,218,1348,4079,267,0,0,56,2764,0,406,716,0,5013,14867
49,0,231,15,2411,149,205,1370,1406,1003,4026,1185,3161,946,3902,20009
50,0,23,0,338,65,33,0,65,0,99,79,429,0,713,1845
51,0,143,0,1789,0,77,0,434,621,752,679,262,0,2409,7165
52,0,0,761,338,0,0,209,65,693,2028,1427,2436,102,6679,14736
53,0,0,210,2202,176,0,640,376,775,6683,3953,2340,59,5638,23052
