16_ZOrigem,16_Metro,16_Trem,16_Onibus,16_TFret,16_TEscola,16_DirAuto,16_PAutomo,16_TaxCon,16_TaxNCon,16_DirMoto,16_PMoto,16_Bicicle,16_APé,16_Outros,16_Total
1,67842,1454,29974,22,180,9597,3492,1775,539,1677,0,146,43709,97,160503
2,47884,8445,25897,0,40,15337,6136,172,1065,4291,24,737,26794,409,137232
3,20982,0,7842,0,244,6238,1178,729,552,664,0,331,23765,446,62971
4,19800,0,13021,0,289,9695,3112,1426,1754,322,0,1084,27227,455,78184
5,78711,880,27444,0,246,13923,3723,423,3570,2546,571,1379,51896,907,186220
6,24961,14759,16074,0,332,9754,2855,171,1718,3230,0,1565,34210,162,109791
7,19558,12331,8075,1658,614,9956,3204,284,642,3837,669,1706,30627,0,93161
8,2097,2706,6084,801,289,4326,2079,0,636,843,0,566,19797,0,40223
9,12042,1103,7153,0,191,5274,952,53,134,711,0,513,8006,137,36269
10,5706,0,8006,330,1754,1929,1413,0,29,200,0,336,4187,0,23890
11,340,14,2971,0,558,2210,2429,0,19,1086,0,83,1693,0,11403
12,4014,6032,7913,68,747,4842,2875,11,461,1290,0,1293,15515,1077,46136
13,1970,6276,3933,241,34,3610,4257,186,466,0,0,38,4120,0,25131
14,5992,13684,15006,1544,148,7268,5630,121,1072,457,0,82,15493,0,66496
15,8933,5499,6337,0,858,3502,1733,0,0,480,0,253,8571,0,36167
16,14052,5118,5599,0,722,6492,685,126,265,147,0,1046,14023,371,48647
17,6416,2533,5882,24,103,3745,706,170,376,636,85,295,10653,0,31625
18,7747,4368,16377,319,524,16255,5892,330,1333,178,0,545,19707,932,74507
19,4251,329,11576,156,1402,15890,9082,294,1109,2130,0,226,11235,0,57680
20,4640,576,11132,0,888,9708,3226,112,948,1209,265,212,14167,0,47083
21,5046,0,7801,0,471,10512,6370,531,2340,1495,0,160,9599,106,44431
22,11279,0,3589,0,187,5460,2890,0,170,1153,0,200,11814,300,37043
23,38573,0,6966,155,148,9449,3432,779,273,2131,0,234,11875,0,74016
24,46827,0,9401,0,656,8940,1829,332,504,2188,250,339,18432,0,89698
25,5430,0,8740,14,0,3719,1648,550,1093,1008,0,570,17860,0,40630
26,11993,0,7135,0,1156,10015,6184,371,287,90,0,269,17009,0,54508
27,37993,821,17412,0,685,18148,7415,1156,2708,1072,31,599,29757,0,117797
28,22755,2197,11724,0,731,11653,3276,1615,4392,745,0,302,16783,0,76171
29,30061,0,19022,0,235,13233,2562,1093,3455,2504,0,359,22005,408,94938
30,9708,308,7668,2716,298,12868,3754,1041,2046,1433,0,1457,19816,0,63115
31,37022,804,22508,791,1364,15599,6353,699,2706,1584,0,208,29020,371,119032
32,41750,767,19608,0,730,13433,2218,594,630,514,0,287,31604,0,112133
33,1552,324,889,0,140,1078,178,257,349,673,0,53,1437,0,6929
34,4004,273,2676,0,444,10015,5764,512,868,52,0,155,7095,0,31857
35,26169,2396,18061,0,384,16534,4395,983,398,69,0,394,43699,852,114335
36,27244,2757,18145,504,544,20492,8128,2071,2254,1620,0,1189,27701,0,112648
37,4097,4706,6566,451,126,6331,3850,119,175,1126,0,1181,5046,0,33774
38,1181,0,1635,0,441,3335,409,0,89,352,0,0,4710,24,12175
39,3583,2379,8626,97,1039,5254,1786,0,202,287,0,7,3847,0,27108
40,11903,632,9306,0,784,5179,2951,0,197,427,0,80,10804,0,42266
41,15537,3802,10263,0,2502,13368,5486,104,477,1518,0,198,28045,0,81301
42,2902,3459,8297,0,177,4314,2621,0,500,72,0,721,6268,24,29355
43,33393,3373,25229,98,1556,15081,6615,358,2549,1601,75,700,18704,0,109332
44,7266,4980,8709,0,1889,15188,6371,269,1387,1362,295,433,12168,0,60317
45,11302,3741,19614,900,2335,21201,7342,0,2510,1965,0,1780,25485,547,98720
46,3965,234,13316,0,7653,11125,7052,629,0,521,0,434,26794,126,71850
47,2718,471,6033,0,200,12046,4125,0,372,1728,0,452,15189,107,43442
48,3110,1000,11636,0,2794,12158,5518,247,77,1120,0,514,10859,126,49161
