17_ZOrigem,17_Coletvo,17_Indiv,17_MMotor,17_MNMotor,17_Total
1,99472,17176,116648,43855,160503
2,82266,27434,109700,27531,137232
3,29068,9807,38875,24096,62971
4,33110,16764,49873,28311,78184
5,107281,25663,132944,53275,186220
6,56127,17890,74017,35774,109791
7,42236,18592,60828,32333,93161
8,11976,7883,19859,20363,40223
9,20489,7261,27750,8519,36269
10,15797,3570,19367,4523,23890
11,3884,5743,9627,1776,11403
12,18773,10554,29328,16808,46136
13,12454,8519,20972,4158,25131
14,36373,14547,50921,15575,66496
15,21628,5715,27342,8824,36167
16,25492,8086,33578,15069,48647
17,14957,5719,20676,10949,31625
18,29335,24921,54255,20252,74507
19,17714,28505,46219,11461,57680
20,17236,15468,32704,14379,47083
21,13318,21354,34672,9759,44431
22,15056,9973,25028,12015,37043
23,45843,16064,61907,12109,74016
24,56884,14043,70927,18771,89698
25,14183,8016,22200,18431,40630
26,20283,16947,37230,17277,54508
27,56911,30530,87441,30356,117797
28,37406,21680,59086,17085,76171
29,49319,23255,72573,22365,94938
30,20698,21143,41841,21274,63115
31,62490,27313,89803,29229,119032
32,62855,17388,80243,31891,112133
33,2904,2535,5439,1490,6929
34,7396,17211,24607,7250,31857
35,47010,23231,70242,44093,114335
36,49194,34564,83758,28890,112648
37,15946,11601,27547,6227,33774
38,3257,4208,7465,4710,12175
39,15725,7528,23253,3855,27108
40,22626,8755,31381,10885,42266
41,32104,20954,53058,28243,81301
42,14835,7530,22365,6990,29355
43,63649,26280,89928,19403,109332
44,22844,24872,47716,12601,60317
45,37890,33565,71455,27265,98720
46,25168,19453,44622,27228,71850
47,9424,18378,27802,15641,43442
48,18541,19247,37788,11374,49161
49,31671,15165,46836,13363,60199
50,4743,8986,13729,3073,16802
51,10797,13095,23892,6068,29960
52,25042,9929,34971,7005,41976
53,34910,20065,54975,10804,65778
54,41146,27624,68770,21128,89898
55,20820,22881,43701,6765,50466
56,32369,24532,56901,19952,76853
57,45464,35205,80669,29946,110615
58,28277,13884,42161,13478,55639
59,72043,42646,114689,49772,164461
60,22198,36525,58723,10625,69348
61,31090,26940,58031,18050,76081
62,23845,18535,42379,6357,48737
63,22513,13198,35711,2433,38144
64,35778,41710,77488,27118,104606
65,17405,36515,53920,14411,68331
66,24181,30060,54241,5697,59938
67,13476,11559,25034,7671,32705
68,58881,54949,113830,58021,171851
