18_ZOrigem,18_TrabInd,18_TrabCom,18_TrabSer,18_Educ,18_Compras,18_Saude,18_Lazer,18_ProcEmp,18_AssPess,18_Refeic,18_Total
1,1773,10927,77107,16425,6580,568,5708,3695,19363,18357,160503
2,2468,32420,33749,6502,35642,1654,2477,1263,12701,8357,137232
3,1604,4210,27907,10899,3127,2405,1053,388,6748,4631,62971
4,314,4116,35153,9989,2769,3310,6190,370,12231,3741,78184
5,3480,22929,95200,13741,3857,3371,7403,4971,15224,16043,186220
6,2279,25938,36913,14805,7962,2163,4349,0,8379,7002,109791
7,8604,22146,24214,15864,9242,847,4130,0,4714,3400,93161
8,6018,3633,13133,12653,903,550,1093,268,1315,657,40223
9,3012,3488,12505,10036,911,340,1261,477,3477,761,36269
10,1538,1993,5261,9050,38,217,5403,0,377,12,23890
11,1782,2362,2877,3036,182,158,107,0,845,55,11403
12,5870,14308,11076,6547,2513,1536,1041,403,2123,719,46136
13,2546,9701,2517,1124,4850,46,43,172,3775,356,25131
14,9133,25270,7604,3672,14569,404,252,1440,1481,2673,66496
15,4679,7558,9862,3313,4641,740,216,143,4121,894,36167
16,1996,6413,18780,7090,4877,832,1196,326,4486,2651,48647
17,1411,9166,6182,9291,2113,229,890,0,1574,768,31625
18,10003,9860,22077,15825,1960,4141,2075,0,5725,2842,74507
19,1520,6859,19684,16525,1670,7442,1456,0,2362,162,57680
20,1530,3406,12310,15125,1891,3201,2355,620,5967,678,47083
21,359,1891,17323,15455,3482,1445,1681,201,2355,238,44431
22,630,1582,10049,14398,3636,3218,383,96,2424,628,37043
23,1695,4309,22824,27081,828,8510,2818,500,2891,2560,74016
24,1391,3395,21697,48289,3714,2297,3400,1016,3364,1135,89698
25,1805,1633,18779,12030,2191,818,880,0,1494,1000,40630
26,3641,2970,16943,17326,1375,4615,3092,0,3759,786,54508
27,2264,6402,48777,22275,3728,16114,6251,230,6574,5183,117797
28,3278,3549,37288,13197,1318,4661,3220,1152,4675,3834,76171
29,2303,6855,46822,11250,2737,9441,5092,83,4433,5920,94938
30,1370,3677,23911,12067,3623,5042,6712,55,4432,2225,63115
31,795,2244,42254,43371,3738,10271,4619,56,7703,3981,119032
32,4288,8628,53604,19870,1384,3249,5859,36,4363,10851,112133
33,71,160,3247,1831,133,557,241,272,197,220,6929
34,630,323,13507,8732,939,4230,1748,0,1162,587,31857
35,3716,5519,57592,22094,4785,3221,7578,676,5795,3360,114335
36,1405,3779,50165,29543,3090,5653,6181,439,7378,5015,112648
37,1867,4603,15694,3900,2000,787,1058,0,2475,1390,33774
38,1712,2353,2726,2793,161,273,2081,0,11,64,12175
39,1171,1909,9193,6679,1762,3017,1568,784,1007,18,27108
40,1623,1069,21361,9277,875,1109,2304,283,2546,1819,42266
41,7122,5119,25789,22697,5836,2634,2805,1484,3574,4240,81301
42,4589,4767,3807,3292,1174,296,2451,849,6804,1326,29355
43,2903,7890,31960,45832,1991,9338,3648,0,4400,1369,109332
44,2297,6582,20482,10400,2419,10334,2785,56,2865,2097,60317
45,8924,14807,32807,19527,3194,4126,4849,292,6729,3465,98720
46,6887,9961,14745,28698,2314,1749,3018,0,3919,560,71850
47,4078,4853,14085,12066,630,1213,3245,111,2773,387,43442
48,2880,7479,16772,17949,994,897,694,162,857,476,49161
49,2318,5417,24910,14672,1262,5527,1382,175,2768,1768,60199
50,536,1526,4418,5308,2358,342,959,0,709,646,16802
51,1048,2876,13029,6952,2189,1397,1074,0,1245,151,29960
52,250,1726,16219,12802,819,1450,3255,0,3838,1618,41976
53,1014,2309,34128,11506,1780,5350,4205,342,3283,1862,65778
54,1328,3953,36984,9792,2974,21157,3137,0,3919,6654,89898
55,1324,4477,18060,16265,472,2572,2639,0,3916,742,50466
56,1617,3385,29606,19393,2916,7536,4894,563,3817,3126,76853
57,1200,5600,57413,19657,2588,8383,4251,0,3678,7845,110615
58,2848,5713,22008,10712,3768,3977,2786,92,2248,1488,55639
59,10500,8132,59013,34236,14188,7194,11884,884,12440,5992,164461
60,3353,2829,27760,12683,5306,4340,6895,220,3913,2050,69348
61,1340,5731,30123,22933,1747,3806,3153,349,5762,1136,76081
62,1721,1727,22053,2698,1001,7458,6660,254,3161,2003,48737
63,79,1905,13731,3019,93,16065,1642,0,943,666,38144
64,3841,12052,49688,21635,1794,4792,3970,0,3548,3286,104606
65,3733,4001,30282,19317,1408,2713,2262,0,2242,2374,68331
66,2168,7335,24546,9550,4122,1626,4171,111,5203,1107,59938
67,648,2769,14027,5354,1204,2947,1462,0,3005,1289,32705
68,5711,10830,100511,21104,4577,4744,4338,0,2988,17047,171851
69,2609,4098,33435,10266,2265,1329,1147,233,2217,3128,60726
70,2611,2680,23549,16386,1124,1415,1575,1646,797,2812,54596
71,1941,5880,31053,14759,5437,2660,2635,0,576,1753,66696
72,5634,1806,25953,14723,2196,880,1828,436,4383,3098,60937
73,16123,17921,102135,8858,2685,1238,4207,220,3046,24863,181295
74,3982,4593,40391,9268,2395,2926,3967,393,3264,5439,76617
75,925,4989,18435,7077,3478,1737,3059,0,1716,1335,42750
76,2649,4013,27464,5428,1067,2601,2657,0,2021,2811,50711
77,1703,6488,44453,14299,1507,17661,2651,0,2795,4428,95986
78,1893,5900,31171,6143,1726,2088,2600,163,2984,3552,58220
79,1859,6050,58504,13371,2608,22767,6885,0,5026,8321,125391
80,2939,5440,38443,12694,2713,4363,3800,127,6077,4251,80848
81,5647,9713,44916,7413,3722,3063,3399,0,2473,7076,87421
82,8489,19586,76552,18860,5122,4039,11731,2380,5113,11972,163842
83,4249,4909,38780,18898,2692,1984,5400,0,7134,6109,90156
84,988,2339,19380,17881,3316,1548,2304,55,4635,2141,54588
85,160,239,7744,5289,1135,1807,1472,0,1130,1391,20367
86,343,753,4148,1996,303,542,840,0,971,432,10328
87,3246,1844,15194,10609,2309,2199,3363,73,5053,615,44504
88,4560,6208,42042,22854,4711,5718,6472,0,8995,2394,103953
89,1150,1128,7713,4718,975,1585,672,124,2392,161,20619
90,1678,2476,14798,8066,3040,2399,6927,0,3968,1711,45063
91,5081,5164,17304,22463,2397,234,2063,809,3358,2602,61475
92,2274,993,17606,1880,29,593,645,108,3945,3444,31517
93,3916,4552,37704,55230,2882,2496,2850,362,6799,3125,119917
94,1280,3406,23812,9841,2566,1015,5316,0,2637,3949,53823
95,1851,1163,18266,13715,1306,1809,1745,0,2029,626,42510
96,2298,1165,12496,10296,1323,1648,1905,0,1658,1139,33927
97,978,3137,17793,6949,1579,5414,4173,0,2402,1351,43776
98,3247,1440,5466,2473,1477,357,770,12,369,191,15802
99,7704,2438,19533,2988,2080,955,2899,482,2536,2022,43636
100,4751,12868,46510,30393,10666,10596,10801,1709,16253,5124,149671
101,746,1388,19735,10590,2000,3619,3417,0,5217,831,47543
102,369,1886,10685,7153,1339,3443,2344,223,3425,879,31747
103,185,137,3639,2503,414,1346,654,10,2600,0,11489
104,1569,585,3670,8323,967,393,1174,0,912,377,17969
105,1227,4743,20050,13346,1321,2826,1181,242,1249,1520,47705
106,567,13314,9931,2454,1333,38,0,101,1722,1350,30809
107,855,3437,21748,19334,633,165,1885,0,1251,960,50269
108,446,5859,11694,2531,2899,202,527,0,1101,569,25830
109,12156,17821,57564,67749,7070,6970,4995,1109,4868,325,180626
110,3103,8422,27933,33053,5184,2622,2263,0,7239,770,90592
111,2103,10311,25305,29640,4638,3057,3245,0,3552,1574,83425
112,3534,4366,17352,19268,4057,2664,2519,0,4688,174,58622
113,5315,4491,20352,18266,1608,3295,1100,0,2981,136,57544
114,0,0,239,0,0,0,0,0,0,0,239
115,5565,3414,13019,32417,6756,1053,1142,0,6313,312,69992
116,12906,18842,60758,109252,9893,4498,9223,561,14281,62,240275
117,6022,3323,16530,28253,718,3069,0,1016,926,0,59858
118,2081,2339,5853,9558,56,284,427,0,1077,0,21676
119,7686,7173,21842,48452,6366,3310,7544,0,8541,0,110913
120,0,0,0,0,0,0,0,0,0,0,0
121,5522,6348,28988,43065,779,1115,2194,0,6572,74,94657
122,1061,3816,17742,32075,3286,3882,4523,1340,4667,0,72394
123,507,5458,20026,36809,3633,4428,4331,0,9300,425,84918
124,3489,11081,32316,56223,8273,7057,2384,0,7814,132,128769
