Zona,TMV_Col_20,TMV_Ind_20,TMV_Ape_20,TMV_Bic_20,Total
1,67,45,9,15,136
2,78,58,12,18,166
3,56,37,11,10,114
4,70,30,14,15,129
5,72,42,8,24,147
6,64,46,10,15,135
7,71,40,11,36,158
8,64,52,13,15,144
9,82,53,11,38,184
10,63,21,11,9,104
11,68,29,13,15,125
12,80,40,11,19,150
13,88,29,10,10,137
14,78,58,10,11,157
15,79,35,14,14,142
16,68,43,12,28,150
17,72,37,11,17,136
18,76,31,13,19,138
19,66,24,11,90,191
20,49,21,15,10,95
21,54,20,9,30,113
22,58,31,16,29,134
23,76,47,10,19,151
24,66,34,11,27,138
25,64,25,15,23,126
26,64,46,12,14,137
27,75,32,13,26,146
28,64,54,11,26,154
29,73,38,10,32,154
30,84,33,13,26,156
31,62,33,11,28,134
32,69,37,11,29,145
33,88,28,17,30,163
34,75,34,14,27,150
35,62,35,15,21,133
36,62,26,11,13,112
37,84,36,11,23,154
38,68,40,23,0,131
39,71,30,10,20,131
40,74,30,8,37,149
41,63,34,9,30,137
42,81,36,11,23,151
43,64,30,14,22,130
44,74,27,11,15,127
45,68,35,9,30,143
46,46,19,9,30,103
47,67,23,11,24,124
48,60,24,11,22,117
49,69,27,13,24,133
50,49,18,15,20,101
51,57,21,13,25,116
52,70,38,17,0,125
53,71,30,13,36,150
54,75,41,9,53,177
55,70,32,11,20,134
56,64,25,14,30,133
57,74,27,11,19,130
58,63,28,17,30,138
59,54,29,10,15,107
60,64,21,13,17,115
61,63,30,13,30,137
62,88,37,13,20,159
63,86,43,15,22,166
64,78,29,7,18,132
65,76,26,9,10,121
66,74,29,11,33,147
67,72,27,11,25,135
68,84,34,8,23,149
69,80,33,7,18,138
70,74,36,9,19,138
71,65,27,11,31,134
72,78,32,12,22,143
73,80,42,7,18,147
74,77,32,10,18,137
75,93,31,10,13,148
76,78,40,10,26,153
77,76,30,11,22,139
78,72,28,10,36,146
79,78,44,9,36,167
80,69,30,9,21,128
81,87,30,8,19,144
82,75,37,8,22,143
83,65,26,10,19,120
84,68,28,11,23,129
85,56,23,9,20,109
86,73,21,13,18,125
87,60,21,12,20,114
88,68,23,10,31,132
89,65,23,12,16,116
90,70,23,10,21,124
91,73,36,10,18,137
92,76,48,9,15,148
93,77,30,11,14,133
94,84,28,11,30,152
95,59,20,10,15,104
96,70,21,13,26,130
97,82,25,11,52,170
98,68,41,15,20,142
99,73,36,9,53,172
100,68,29,7,13,118
101,63,22,10,20,114
102,54,23,14,0,91
103,64,20,12,0,96
104,65,29,11,15,120
105,66,29,10,0,105
106,82,43,9,18,151
107,60,30,8,23,120
108,95,39,10,13,156
109,56,31,12,10,109
110,62,24,10,0,96
111,49,22,9,11,92
112,57,28,12,0,98
113,62,23,12,0,98
114,0,0,30,0,30
115,57,27,16,0,100
116,55,26,12,0,93
117,57,34,11,0,103
118,77,29,12,0,119
119,56,27,15,0,97
120,0,0,0,0,0
121,56,24,15,0,95
122,55,29,13,30,128
123,51,26,10,0,87
124,54,23,15,0,91
125,48,32,11,21,112
126,54,26,12,30,122
127,51,21,14,27,112
128,71,27,10,50,157
129,57,29,12,0,98
130,69,37,17,9,132
131,71,37,9,75,191
132,65,38,16,27,145
133,52,19,11,25,106
134,56,19,11,0,86
135,47,22,12,20,101
136,59,24,10,50,143
137,52,20,14,10,96
138,58,29,11,15,113
139,55,23,9,54,142
140,63,28,10,46,148
141,55,21,12,36,125
142,50,23,10,0,83
143,0,0,0,0,0
144,50,31,13,0,94
145,47,19,7,40,113
146,0,0,0,0,0
147,47,21,11,60,139
148,44,18,13,30,105
149,0,60,0,30,90
150,58,30,13,0,100
151,63,17,12,37,129
152,44,23,12,20,99
153,48,28,10,0,86
154,53,23,11,0,87
155,45,27,15,15,102
156,49,19,11,38,117
157,57,18,10,15,100
158,48,30,16,15,109
159,48,22,8,0,78
160,46,27,17,0,89
161,70,25,9,10,114
162,62,31,14,18,124
163,52,21,12,10,95
164,75,47,14,16,151
165,60,31,8,10,109
166,62,28,14,0,104
167,68,33,11,20,133
168,66,30,12,0,108
169,68,24,11,10,113
170,54,36,15,14,119
171,50,26,13,0,89
172,50,21,16,20,107
173,63,25,13,20,120
174,53,30,11,15,109
175,48,20,12,0,79
176,49,24,14,0,87
177,47,27,10,26,109
178,72,102,15,0,189
179,0,0,0,0,0
180,57,27,13,17,114
181,54,21,17,15,106
182,47,29,13,43,132
