05_ZResidencia,05_RF1,05_RF2,05_RF3,05_RF4,05_RF5,05_Total
1,938,1317,660,347,0,3262
2,1002,3341,1108,244,0,5695
3,3408,8150,4581,0,991,17130
4,2820,7197,9493,2265,2315,24089
5,1907,7250,4077,1445,277,14956
6,4328,15164,1970,527,0,21989
7,1547,7704,8381,578,0,18210
8,2471,5288,4132,259,101,12252
9,1451,2811,2533,568,93,7456
10,489,1062,68,0,0,1619
11,421,1268,735,169,120,2713
12,1546,8595,2456,1366,418,14381
13,313,913,209,0,0,1435
14,328,2431,579,0,0,3337
15,2377,4384,1382,284,0,8427
16,220,9697,2201,0,0,12117
17,1139,3690,1963,188,0,6980
18,1846,7708,5919,1866,1900,19240
19,1321,6052,9723,2589,1047,20732
20,1932,5144,7154,6751,2081,23063
21,1707,2294,7530,5677,1484,18691
22,636,6010,4824,1093,1060,13623
23,63,2954,1878,438,0,5332
24,1537,5289,3968,135,494,11423
25,2726,7999,6607,326,743,18401
26,1452,4521,6563,1310,435,14281
27,173,2083,8751,2743,3786,17536
28,238,1381,6246,698,505,9068
29,854,2448,6739,1998,1212,13251
30,197,1704,7931,3897,5727,19455
31,619,8063,9302,1722,328,20034
32,263,2836,3347,1497,613,8556
33,27,65,376,350,1021,1839
34,62,575,1548,1992,3379,7556
35,11124,15099,9122,4579,108,40032
36,1306,13185,18938,6698,2967,43094
37,229,1211,2096,881,190,4607
38,370,1150,1413,723,130,3786
39,789,4128,2642,950,847,9357
40,1007,4263,2117,291,200,7878
41,3414,8383,7979,1595,680,22051
42,449,2870,1469,166,374,5328
43,982,7262,15609,2435,1670,27958
44,1622,3188,9472,1990,2079,18350
45,1112,7499,22055,1771,835,33271
46,5624,13200,13613,1506,2327,36270
47,1711,8704,9530,1905,1153,23003
48,3795,7862,10500,437,1331,23924
49,708,3484,4796,2427,1971,13386
50,25,3418,3626,1437,391,8896
51,0,2312,4717,5781,3275,16085
52,114,1818,3092,1712,3410,10145
53,417,1378,7021,2673,1804,13293
54,143,1653,5056,743,1120,8715
55,206,5262,5824,3104,1121,15518
56,235,3989,8636,4911,3847,21617
57,162,2341,14236,4129,3466,24334
58,1181,8947,15570,3289,1792,30779
59,4075,11346,17085,7091,13148,52745
60,767,3542,12151,1043,4555,22059
61,1492,5810,13326,3598,3873,28100
62,47,717,2227,787,787,4565
63,0,51,673,685,690,2099
64,925,4525,13726,8274,5936,33386
65,0,1189,10132,7463,8076,26860
66,51,1181,5253,1161,3277,10923
67,0,1033,3137,3455,2950,10574
68,0,1451,19841,5038,1130,27460
69,0,1093,3694,2177,3056,10021
70,62,1842,6759,2227,814,11703
71,0,2981,11997,8375,5091,28443
72,899,672,3259,3315,1947,10092
73,504,1554,3098,1710,1892,8758
74,112,1266,4672,4047,2668,12765
75,0,924,5363,2591,5399,14277
76,0,1532,3101,2889,3385,10908
77,1067,3941,5694,5887,4416,21006
78,77,1423,13904,3303,2069,20776
