08_ZResidencia,08_AssCom_Cart,08_AssSem_Cart,08_FunPub,08_Auto,08_Empreg,08_ProfLib,08_DNegFam,08_TraFam,08_Total
1,687,104,230,317,76,38,94,77,1624
2,1003,672,121,1240,69,137,40,0,3282
3,4159,1268,138,1670,79,0,771,138,8223
4,6036,840,877,4680,174,1960,0,0,14567
5,2196,769,804,2082,800,2361,940,346,10298
6,6710,1155,291,4234,408,376,227,0,13400
7,3732,354,207,3053,475,127,681,0,8629
8,3360,551,147,1815,0,0,388,171,6432
9,1664,415,134,1133,23,0,74,0,3442
10,335,90,7,182,0,19,89,0,723
11,758,73,37,518,19,37,0,0,1444
12,2588,1109,0,1459,261,0,1479,0,6896
13,236,168,15,337,12,11,55,15,849
14,1112,183,38,597,66,40,112,0,2148
15,1691,695,0,2153,0,47,298,158,5042
16,2954,847,576,980,134,114,724,72,6399
17,1944,435,193,1275,137,0,56,0,4040
18,4580,793,709,3239,346,411,219,0,10296
19,4783,1233,468,2798,0,473,1600,0,11357
20,6901,971,1077,2816,593,1485,0,0,13843
21,3772,575,773,2357,502,1707,664,0,10350
22,3735,290,887,2211,144,269,32,0,7567
23,1757,325,254,644,0,112,106,0,3198
24,2223,814,521,896,147,204,1012,0,5817
25,7076,1356,308,2883,0,143,173,0,11938
26,3920,1036,1274,1937,602,233,0,102,9104
27,3987,228,1054,1407,555,2436,673,0,10339
28,2558,387,268,1032,90,1118,90,0,5544
29,4248,528,899,837,20,1010,297,0,7839
30,5091,717,677,948,807,2839,751,114,11944
31,5254,494,1354,1818,867,2048,307,86,12230
32,2288,354,529,565,105,1057,38,0,4936
33,533,33,102,180,168,149,0,0,1164
34,1413,222,191,651,543,1148,299,34,4501
35,11456,1185,1681,5667,0,513,0,0,20502
36,8736,444,1862,5020,2277,5025,1231,0,24595
37,1269,12,329,584,95,207,57,0,2553
38,877,219,88,286,47,150,265,42,1973
39,2795,400,344,880,110,0,223,0,4752
40,1902,244,178,947,82,115,343,24,3835
41,5395,1269,287,2544,265,46,508,0,10314
42,1413,21,0,793,86,77,318,76,2784
43,7252,1647,1126,3501,273,1434,986,0,16218
44,4381,214,452,1538,100,739,586,0,8009
45,6457,1059,420,2369,1048,798,1898,424,14473
46,8192,637,357,4881,714,357,2124,0,17262
47,4799,811,1139,5431,294,162,963,0,13599
48,6201,234,601,3091,218,213,543,0,11101
49,3226,712,880,1468,174,831,681,0,7973
50,2676,298,280,515,196,536,474,0,4974
51,4238,928,183,1240,183,1460,458,92,8782
52,2193,188,852,1000,908,1241,654,0,7037
53,3725,294,346,663,102,1010,205,0,6345
54,2108,550,308,663,199,901,162,12,4902
55,3553,322,445,2804,148,2095,470,0,9837
56,4729,879,1326,2149,692,2112,261,131,12278
57,6151,760,686,1715,599,3266,614,0,13791
58,7188,2661,794,4556,88,969,353,0,16609
59,12630,2159,1778,5325,996,4854,535,0,28278
60,4526,195,970,3458,1021,1813,104,0,12088
61,5799,1278,1260,4857,633,2291,453,0,16572
62,798,0,189,637,119,791,165,47,2746
63,566,41,30,106,177,264,60,10,1255
64,8247,850,697,2718,1500,4072,1567,325,19977
65,8501,398,192,2212,900,2830,0,0,15033
66,3148,407,245,964,632,818,435,0,6649
67,2543,338,190,1455,403,859,261,0,6050
68,10158,0,1109,472,1416,3376,1069,79,17679
69,2404,31,423,1451,529,1073,134,0,6044
70,3299,142,208,535,369,977,173,0,5703
71,5454,842,170,2709,286,4946,1043,135,15585
72,2535,81,127,1129,0,517,992,156,5536
73,2851,204,203,878,0,538,413,0,5087
74,3438,198,467,916,394,1354,398,0,7166
75,2528,547,260,1164,768,1480,520,0,7267
76,2184,449,374,427,407,1894,280,0,6016
77,5048,281,493,2411,948,1638,0,0,10818
78,4497,266,545,1267,526,3859,796,0,11755
79,3017,233,396,655,397,1619,166,0,6482
80,5184,345,672,2680,62,1539,867,0,11350
81,1883,449,177,1767,934,1543,737,98,7589
82,2546,373,496,1712,275,549,260,124,6334
83,4857,305,630,3532,889,1874,244,0,12330
84,2786,257,1293,1665,578,1769,221,0,8568
85,1226,102,322,222,325,675,63,36,2970
86,731,147,72,663,31,297,16,0,1957
87,3720,445,824,2399,450,1209,204,0,9253
88,9364,1968,3252,3443,2009,6118,2077,0,28231
89,2664,433,1036,2419,382,1239,197,0,8369
90,2316,285,438,2358,949,941,315,0,7602
91,566,55,9,271,27,0,48,0,977
92,40,9,8,78,4,8,5,8,159
93,1354,352,804,828,18,541,345,0,4242
94,683,85,116,697,163,400,134,0,2278
95,3725,426,860,2296,606,1490,180,0,9582
96,1471,58,437,737,520,672,0,0,3895
97,2987,195,643,1816,353,1296,647,228,8164
98,666,25,47,262,12,59,20,0,1091
99,2156,258,84,1245,0,0,84,0,3828
100,3133,660,670,2464,732,2189,382,202,10433
101,4372,290,1649,3330,1186,345,0,0,11172
102,2783,0,320,2391,438,500,461,49,6942
103,476,101,186,229,44,100,110,0,1246
104,1488,297,254,388,469,564,224,61,3745
105,3819,0,458,1241,776,844,461,88,7686
106,1050,29,0,463,0,0,182,0,1724
107,4234,0,787,803,525,874,437,418,8078
108,832,90,20,703,20,13,107,0,1786
