Zona,Pop_GenM_04,Pop_GenF_04,Total
1,1907,1355,3262
2,2844,2851,5695
3,7190,9940,17130
4,13335,10754,24089
5,7313,7643,14956
6,9166,12823,21989
7,9081,9129,18210
8,6219,6033,12252
9,3458,3998,7456
10,766,853,1619
11,1408,1305,2713
12,7182,7199,14381
13,706,729,1435
14,1373,1964,3337
15,4176,4251,8427
16,4716,7401,12117
17,3390,3590,6980
18,9962,9278,19240
19,9382,11350,20732
20,11285,11778,23063
21,9503,9188,18691
22,7007,6616,13623
23,2574,2758,5332
24,5178,6245,11423
25,10187,8214,18401
26,6908,7373,14281
27,8307,9229,17536
28,3788,5280,9068
29,6527,6724,13251
30,7713,11742,19455
31,9619,10415,20034
32,4417,4139,8556
33,858,981,1839
34,3220,4336,7556
35,18275,21757,40032
36,19113,23981,43094
37,2061,2546,4607
38,1786,2000,3786
39,3875,5482,9357
40,3603,4275,7878
41,10607,11444,22051
42,2638,2690,5328
43,14125,13833,27958
44,8355,9995,18350
45,15922,17349,33271
46,17866,18404,36270
47,10095,12908,23003
48,12574,11350,23924
49,6823,6563,13386
50,4402,4494,8896
51,7217,8868,16085
52,6360,3785,10145
53,5740,7553,13293
54,3670,5045,8715
55,6172,9346,15518
56,9863,11754,21617
57,11008,13326,24334
58,14835,15944,30779
59,22777,29968,52745
60,8825,13234,22059
61,11083,17017,28100
62,2618,1947,4565
63,999,1100,2099
64,15345,18041,33386
65,13022,13838,26860
66,4450,6473,10923
67,5295,5279,10574
68,14335,13125,27460
69,4742,5279,10021
70,5160,6543,11703
71,13017,15426,28443
72,4408,5684,10092
73,4228,4530,8758
74,5230,7535,12765
75,6577,7700,14277
76,5276,5632,10908
77,9400,11606,21006
78,10022,10754,20776
79,4955,5735,10690
80,9244,10447,19691
81,5885,6765,12650
82,5354,5908,11262
83,10419,11856,22275
84,6419,10138,16557
85,1873,3160,5033
86,1822,1907,3729
87,7849,8505,16354
88,20639,24717,45356
89,7066,6927,13993
90,6077,7155,13232
91,1106,1244,2350
92,124,200,324
93,3895,5137,9032
94,1693,2300,3993
95,8867,8790,17657
96,3734,3477,7211
97,7431,9179,16610
98,914,1538,2452
99,3799,4321,8120
100,8740,10614,19354
101,11500,10358,21858
102,5825,6818,12643
103,1304,1318,2622
104,3534,3530,7064
105,6631,7808,14439
106,1819,2102,3921
107,6757,8456,15213
108,1779,1672,3451
109,53147,66972,120118
110,24895,25556,50451
111,26894,24029,50923
112,16052,19100,35152
113,11508,12646,24154
114,0,0,0
115,22890,26204,49094
116,77410,80497,157907
117,33078,31017,64095
118,7247,9505,16752
119,44256,42990,87246
120,0,0,0
121,40033,50240,90273
122,23959,25994,49953
123,35787,37279,73066
124,32301,32565,64866
125,23870,28731,52600
126,15845,18234,34079
127,29983,23958,53941
128,663,1131,1794
129,2360,2236,4596
130,1565,1709,3274
131,582,645,1227
132,0,0,0
133,13861,22581,36442
134,13245,15582,28827
135,20445,17718,38163
136,14261,18309,32570
137,27376,26063,53439
138,4062,3793,7855
139,9858,14451,24309
140,23631,23760,47391
141,40653,38623,79276
142,31751,34573,66324
143,0,0,0
144,49919,54607,104526
145,2181,2299,4480
146,0,0,0
147,14297,19605,33902
148,11080,11789,22869
149,0,0,0
150,23149,28409,51558
